date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
07/06/18;Mané Garrincha;20h00;Fluminense;Flamengo;0;2;60000;52
21/07/18;Morumbi;21h00;São Paulo;Corinthians;3;1;58624;37
27/10/18;Maracanã;19h00;Flamengo;Palmeiras;1;1;58613;24
26/08/18;Morumbi;11h00;São Paulo;Ceará;1;0;57323;46
06/10/18;Morumbi;18h00;São Paulo;Palmeiras;0;2;56694;52
06/05/18;Maracanã;16h00;Flamengo;Internacional;2;0;55283;25
02/09/18;Maracanã;11h00;Flamengo;Ceará;0;1;55147;33
10/06/18;Maracanã;19h00;Flamengo;Paraná;2;0;54526;32
15/09/18;Mané Garrincha;19h00;Vasco;Flamengo;1;1;54288;53
29/07/18;Maracanã;16h00;Flamengo;Sport;4;1;53591;28
05/08/18;Morumbi;16h00;São Paulo;Vasco;2;1;53437;34
29/04/18;Castelão (CE);16h00;Ceará;Flamengo;0;3;51952;31
18/07/18;Maracanã;21h45;Flamengo;São Paulo;0;1;51777;30
12/08/18;Maracanã;16h00;Flamengo;Cruzeiro;1;0;50402;30
31/05/18;Maracanã;16h00;Flamengo;Bahia;2;0;50141;35
02/09/18;Morumbi;16h00;São Paulo;Fluminense;1;1;49348;38
13/10/18;Maracanã;17h00;Flamengo;Fluminense;3;0;48894;23
23/08/18;Maracanã;19h30;Flamengo;Vitória;1;0;48757;22
12/05/18;Arena do Grêmio;16h00;Grêmio;Internacional;0;0;48035;43
22/09/18;Morumbi;16h00;São Paulo;América-MG;1;1;47846;39
21/04/18;Maracanã;19h00;Flamengo;América-MG;2;0;47175;34
03/06/18;Maracanã;16h00;Flamengo;Corinthians;1;0;44075;46
08/09/18;Morumbi;19h00;São Paulo;Bahia;1;0;43555;38
15/11/18;Maracanã;17h00;Flamengo;Santos;1;0;43547;26
10/11/18;Arena Corinthians;17h00;Corinthians;São Paulo;1;1;42845;44
11/11/18;Castelão (CE);17h00;Ceará;Internacional;1;1;42149;17
