Açailândia, MA;população 108.765;8,1%
Afonso Cunha, MA;população 6.277;9,7%
Água Doce do Maranhão, MA;população 12.146;9,4%
Alcântara, MA;população 21.652;9,4%
Aldeias Altas, MA;população 25.509;5,9%
Altamira do Maranhão, MA;população 11.699;11,2%
Alto Alegre do Maranhão, MA;população 26.056;10,3%
Alto Alegre do Pindaré, MA;população 31.271;11,5%
Alto Parnaíba, MA;população 10.931;7,2%
Amapá do Maranhão, MA;população 6.731;9,1%
Amarante do Maranhão, MA;população 39.974;7,8%
Anajatuba, MA;população 26.618;8,9%
Anapurus, MA;população 15.057;8,3%
Apicum-Açu, MA;população 17.712;5,9%
Araguanã, MA;população 14.843;9,5%
Araioses, MA;população 44.800;7,4%
Arame, MA;população 31.944;8,1%
Arari, MA;população 29.096;8,1%
Axixá, MA;população 11.780;6%
Bacabal, MA;população 102.265;13,3%
Bacabeira, MA;população 16.276;7,6%
Bacuri, MA;população 17.280;6,8%
Bacurituba, MA;população 5.477;9%
Balsas, MA;população 90.679;6,4%
Barão de Grajaú, MA;população 18.223;10,7%
Barra do Corda, MA;população 85.603;8,6%
Barreirinhas, MA;população 59.623;9,4%
Belágua, MA;população 7.191;8,2%
Bela Vista do Maranhão, MA;população 10.836;8,7%
Benedito Leite, MA;população 5.515;5,8%
Bequimão, MA;população 20.837;5,8%
Bernardo do Mearim, MA;população 5.860;11,5%
Boa Vista do Gurupi, MA;população 8.816;9,1%
Bom Jardim, MA;população 40.405;7,6%
Bom Jesus das Selvas, MA;população 32.133;9,2%
Bom Lugar, MA;população 15.655;10,3%
Brejo, MA;população 35.124;7,1%
Brejo de Areia, MA;população 4.291;10,7%
Buriti, MA;população 27.864;6,6%
Buriti Bravo, MA;população 23.308;8,5%
Buriticupu, MA;população 69.548;7,8%
Buritirana, MA;população 15.055;6,1%
Cachoeira Grande, MA;população 8.762;9%
Cajapió, MA;população 10.876;8,5%
Cajari, MA;população 18.850;11,7%
Campestre do Maranhão, MA;população 13.921;6,7%
Cândido Mendes, MA;população 19.567;7,5%
Cantanhede, MA;população 21.299;10,9%
Capinzal do Norte, MA;população 10.725;10,1%
Carolina, MA;população 23.902;8,7%
Carutapera, MA;população 23.021;5,5%
Caxias, MA;população 160.291;10,4%
Cedral, MA;população 10.435;4,6%
Central do Maranhão, MA;população 8.354;8,4%
Centro do Guilherme, MA;população 12.713;11,7%
Centro Novo do Maranhão, MA;população 20.707;8,2%
Chapadinha, MA;população 76.972;10,2%
Cidelândia, MA;população 14.238;7,4%
Codó, MA;população 119.962;10,6%
Coelho Neto, MA;população 48.078;7,7%
Colinas, MA;população 40.097;8,7%
Conceição do Lago-Açu, MA;população 15.554;15%
Coroatá, MA;população 63.497;11,7%
Cururupu, MA;população 31.027;13,6%
Davinópolis, MA;população 12.650;7,2%
Dom Pedro, MA;população 22.863;10,7%
Duque Bacelar, MA;população 11.015;7,7%
Esperantinópolis, MA;população 17.238;10,3%
Estreito, MA;população 39.805;5,6%
Feira Nova do Maranhão, MA;população 8.293;7%
Fernando Falcão, MA;população 9.932;7,6%
Formosa da Serra Negra, MA;população 18.337;5,5%
Fortaleza dos Nogueiras, MA;população 12.360;8,1%
Fortuna, MA;população 15.226;10,2%
Godofredo Viana, MA;população 11.262;7,8%
Gonçalves Dias, MA;população 17.576;7,8%
Governador Archer, MA;população 10.531;8,3%
Governador Edison Lobão, MA;população 17.430;11,1%
Governador Eugênio Barros, MA;população 16.386;9,4%
Governador Luiz Rocha, MA;população 7.580;8,1%
Governador Newton Bello, MA;população 10.060;8,3%
Governador Nunes Freire, MA;população 25.188;8%
Graça Aranha, MA;população 6.147;8,1%
Grajaú, MA;população 66.013;8,3%
Guimarães, MA;população 11.881;9,9%
Humberto de Campos, MA;população 27.679;7,6%
Icatu, MA;população 26.240;6%
Igarapé do Meio, MA;população 13.567;14,1%
Igarapé Grande, MA;população 11.533;10,7%
Imperatriz, MA;população 252.320;10,7%
Itaipava do Grajaú, MA;população 14.298;6,6%
Itapecuru Mirim, MA;população 65.713;9,6%
Itinga do Maranhão, MA;população 25.357;7,2%
Jatobá, MA;população 9.596;8,7%
Jenipapo dos Vieiras, MA;população 16.015;7,7%
João Lisboa, MA;população 23.338;7,5%
Joselândia, MA;população 15.792;10,7%
Junco do Maranhão, MA;população 3.539;9,1%
Lago da Pedra, MA;população 48.511;9,2%
Lago do Junco, MA;população 10.565;12,2%
Lago Verde, MA;população 15.820;9,2%
Lagoa do Mato, MA;população 11.005;5,1%
Lago dos Rodrigues, MA;população 8.745;11,5%
Lagoa Grande do Maranhão, MA;população 12.822;8,1%
Lajeado Novo, MA;população 7.287;7,9%
Lima Campos, MA;população 11.612;13,7%
Loreto, MA;população 11.795;8,7%
Luís Domingues, MA;população 6.744;6,2%
Magalhães de Almeida, MA;população 18.982;7,5%
Maracaçumé, MA;população 20.549;8,9%
Marajá do Sena, MA;população 7.689;10,4%
Maranhãozinho, MA;população 15.384;8,1%
Mata Roma, MA;população 16.169;11,3%
Matinha, MA;população 22.673;7,9%
Matões, MA;população 32.773;6,2%
Matões do Norte, MA;população 15.758;9,4%
Milagres do Maranhão, MA;população 8.261;8,2%
Mirador, MA;população 20.586;6,3%
Miranda do Norte, MA;população 26.979;10,6%
Mirinzal, MA;população 14.570;11,7%
Monção, MA;população 32.516;8,7%
Montes Altos, MA;população 9.102;7,9%
Morros, MA;população 18.747;4,9%
Nina Rodrigues, MA;população 13.746;13%
Nova Colinas, MA;população 5.183;7%
Nova Iorque, MA;população 4.595;6,6%
Nova Olinda do Maranhão, MA;população 20.184;11,7%
Olho d'Água das Cunhãs, MA;população 19.009;5,8%
Olinda Nova do Maranhão, MA;população 14.110;10,3%
Paço do Lumiar, MA;população 115.693;10,4%
Palmeirândia, MA;população 19.213;6,4%
Paraibano, MA;população 20.768;5,9%
Parnarama, MA;população 34.018;4,9%
Passagem Franca, MA;população 18.387;4,8%
Pastos Bons, MA;população 18.848;7,3%
Paulino Neves, MA;população 15.427;13,9%
Paulo Ramos, MA;população 20.539;13%
Pedreiras, MA;população 38.582;14,5%
Pedro do Rosário, MA;população 24.183;10,5%
Penalva, MA;população 36.899;12,8%
Peri Mirim, MA;população 13.989;4%
Peritoró, MA;população 22.369;11,5%
Pindaré-Mirim, MA;população 32.037;12,9%
Pinheiro, MA;população 80.917;8,7%
Pio XII, MA;população 21.333;11,4%
Pirapemas, MA;população 18.053;7,4%
Poção de Pedras, MA;população 18.191;11%
Porto Franco, MA;população 22.956;7,1%
Porto Rico do Maranhão, MA;população 5.909;8,4%
