Açailândia, MA;população 108.765;0,4%
Afonso Cunha, MA;população 6.277;0,4%
Água Doce do Maranhão, MA;população 12.146;0%
Alcântara, MA;população 21.652;0,1%
Aldeias Altas, MA;população 25.509;0,5%
Altamira do Maranhão, MA;população 11.699;0,7%
Alto Alegre do Maranhão, MA;população 26.056;0,2%
Alto Alegre do Pindaré, MA;população 31.271;0,4%
Alto Parnaíba, MA;população 10.931;0,3%
Amapá do Maranhão, MA;população 6.731;0,2%
Amarante do Maranhão, MA;população 39.974;0,4%
Anajatuba, MA;população 26.618;0,1%
Anapurus, MA;população 15.057;0,1%
Apicum-Açu, MA;população 17.712;0%
Araguanã, MA;população 14.843;0%
Araioses, MA;população 44.800;0,2%
Arame, MA;população 31.944;0,3%
Arari, MA;população 29.096;0,2%
Axixá, MA;população 11.780;0,4%
Bacabal, MA;população 102.265;0,4%
Bacabeira, MA;população 16.276;0,1%
Bacuri, MA;população 17.280;0%
Bacurituba, MA;população 5.477;0,2%
Balsas, MA;população 90.679;0,4%
Barão de Grajaú, MA;população 18.223;1,5%
Barra do Corda, MA;população 85.603;0,4%
Barreirinhas, MA;população 59.623;0,2%
Belágua, MA;população 7.191;0,2%
Bela Vista do Maranhão, MA;população 10.836;0,2%
Benedito Leite, MA;população 5.515;0,5%
Bequimão, MA;população 20.837;0%
Bernardo do Mearim, MA;população 5.860;0,2%
Boa Vista do Gurupi, MA;população 8.816;0,2%
Bom Jardim, MA;população 40.405;0,3%
Bom Jesus das Selvas, MA;população 32.133;0,2%
Bom Lugar, MA;população 15.655;0,6%
Brejo, MA;população 35.124;0,2%
Brejo de Areia, MA;população 4.291;0,4%
Buriti, MA;população 27.864;0,2%
Buriti Bravo, MA;população 23.308;0,2%
Buriticupu, MA;população 69.548;0,5%
Buritirana, MA;população 15.055;0,4%
Cachoeira Grande, MA;população 8.762;0,2%
Cajapió, MA;população 10.876;0%
Cajari, MA;população 18.850;0,2%
Campestre do Maranhão, MA;população 13.921;0,2%
Cândido Mendes, MA;população 19.567;0,1%
Cantanhede, MA;população 21.299;0,1%
Capinzal do Norte, MA;população 10.725;0%
Carolina, MA;população 23.902;0,3%
Carutapera, MA;população 23.021;0,1%
Caxias, MA;população 160.291;0,4%
Cedral, MA;população 10.435;0,1%
Central do Maranhão, MA;população 8.354;0,1%
Centro do Guilherme, MA;população 12.713;0,3%
Centro Novo do Maranhão, MA;população 20.707;0,2%
Chapadinha, MA;população 76.972;0,4%
Cidelândia, MA;população 14.238;0,4%
Codó, MA;população 119.962;0,4%
Coelho Neto, MA;população 48.078;0,5%
Colinas, MA;população 40.097;0,3%
Conceição do Lago-Açu, MA;população 15.554;0,6%
Coroatá, MA;população 63.497;0,3%
Cururupu, MA;população 31.027;0,3%
Davinópolis, MA;população 12.650;0,3%
Dom Pedro, MA;população 22.863;0,2%
Duque Bacelar, MA;população 11.015;0%
Esperantinópolis, MA;população 17.238;0,3%
Estreito, MA;população 39.805;0,4%
Feira Nova do Maranhão, MA;população 8.293;0,3%
Fernando Falcão, MA;população 9.932;0,1%
Formosa da Serra Negra, MA;população 18.337;0%
Fortaleza dos Nogueiras, MA;população 12.360;0%
Fortuna, MA;população 15.226;0,3%
Godofredo Viana, MA;população 11.262;0,2%
Gonçalves Dias, MA;população 17.576;0%
Governador Archer, MA;população 10.531;0,1%
Governador Edison Lobão, MA;população 17.430;0,4%
Governador Eugênio Barros, MA;população 16.386;0,6%
Governador Luiz Rocha, MA;população 7.580;0,5%
Governador Newton Bello, MA;população 10.060;0,3%
Governador Nunes Freire, MA;população 25.188;0,2%
Graça Aranha, MA;população 6.147;0,5%
Grajaú, MA;população 66.013;0,4%
Guimarães, MA;população 11.881;0,3%
Humberto de Campos, MA;população 27.679;0,3%
Icatu, MA;população 26.240;0,2%
Igarapé do Meio, MA;população 13.567;0%
Igarapé Grande, MA;população 11.533;0,3%
Imperatriz, MA;população 252.320;0,3%
Itaipava do Grajaú, MA;população 14.298;0%
Itapecuru Mirim, MA;população 65.713;0,3%
Itinga do Maranhão, MA;população 25.357;0,4%
Jatobá, MA;população 9.596;0,2%
Jenipapo dos Vieiras, MA;população 16.015;0%
João Lisboa, MA;população 23.338;0,3%
Joselândia, MA;população 15.792;0,1%
Junco do Maranhão, MA;população 3.539;0,2%
Lago da Pedra, MA;população 48.511;0,2%
Lago do Junco, MA;população 10.565;0%
Lago Verde, MA;população 15.820;0,4%
Lagoa do Mato, MA;população 11.005;0,3%
Lago dos Rodrigues, MA;população 8.745;0,2%
Lagoa Grande do Maranhão, MA;população 12.822;0,3%
Lajeado Novo, MA;população 7.287;0,3%
Lima Campos, MA;população 11.612;0,2%
Loreto, MA;população 11.795;0,1%
Luís Domingues, MA;população 6.744;0,2%
Magalhães de Almeida, MA;população 18.982;0,4%
Maracaçumé, MA;população 20.549;0,3%
Marajá do Sena, MA;população 7.689;0,5%
Maranhãozinho, MA;população 15.384;0,3%
Mata Roma, MA;população 16.169;0,1%
Matinha, MA;população 22.673;0,4%
Matões, MA;população 32.773;0,4%
Matões do Norte, MA;população 15.758;0%
Milagres do Maranhão, MA;população 8.261;0,2%
Mirador, MA;população 20.586;0,1%
Miranda do Norte, MA;população 26.979;0,3%
Mirinzal, MA;população 14.570;0,3%
Monção, MA;população 32.516;0,2%
Montes Altos, MA;população 9.102;0,3%
Morros, MA;população 18.747;0,3%
Nina Rodrigues, MA;população 13.746;0%
Nova Colinas, MA;população 5.183;0,3%
Nova Iorque, MA;população 4.595;0,6%
Nova Olinda do Maranhão, MA;população 20.184;0,2%
Olho d'Água das Cunhãs, MA;população 19.009;0%
Olinda Nova do Maranhão, MA;população 14.110;0,7%
Paço do Lumiar, MA;população 115.693;0,2%
Palmeirândia, MA;população 19.213;0,2%
Paraibano, MA;população 20.768;0,8%
Parnarama, MA;população 34.018;0,3%
Passagem Franca, MA;população 18.387;0,3%
Pastos Bons, MA;população 18.848;0,4%
Paulino Neves, MA;população 15.427;0,3%
Paulo Ramos, MA;população 20.539;0,5%
Pedreiras, MA;população 38.582;0,4%
Pedro do Rosário, MA;população 24.183;0%
Penalva, MA;população 36.899;0,1%
Peri Mirim, MA;população 13.989;0,8%
Peritoró, MA;população 22.369;0,5%
Pindaré-Mirim, MA;população 32.037;0,1%
