Açailândia, MA;população 108.765;12,6%
Afonso Cunha, MA;população 6.277;12,8%
Água Doce do Maranhão, MA;população 12.146;19,2%
Alcântara, MA;população 21.652;12,9%
Aldeias Altas, MA;população 25.509;15,1%
Altamira do Maranhão, MA;população 11.699;10,1%
Alto Alegre do Maranhão, MA;população 26.056;13%
Alto Alegre do Pindaré, MA;população 31.271;12%
Alto Parnaíba, MA;população 10.931;14,4%
Amapá do Maranhão, MA;população 6.731;15,3%
Amarante do Maranhão, MA;população 39.974;13%
Anajatuba, MA;população 26.618;10,1%
Anapurus, MA;população 15.057;10,4%
Apicum-Açu, MA;população 17.712;16,2%
Araguanã, MA;população 14.843;12,1%
Araioses, MA;população 44.800;15%
Arame, MA;população 31.944;11%
Arari, MA;população 29.096;11,2%
Axixá, MA;população 11.780;17,8%
Bacabal, MA;população 102.265;10,5%
Bacabeira, MA;população 16.276;16,1%
Bacuri, MA;população 17.280;11,7%
Bacurituba, MA;população 5.477;13%
Balsas, MA;população 90.679;13,1%
Barão de Grajaú, MA;população 18.223;11%
Barra do Corda, MA;população 85.603;12,7%
Barreirinhas, MA;população 59.623;13%
Belágua, MA;população 7.191;13,9%
Bela Vista do Maranhão, MA;população 10.836;11,3%
Benedito Leite, MA;população 5.515;15,7%
Bequimão, MA;população 20.837;18,4%
Bernardo do Mearim, MA;população 5.860;10,9%
Boa Vista do Gurupi, MA;população 8.816;15,3%
Bom Jardim, MA;população 40.405;11,8%
Bom Jesus das Selvas, MA;população 32.133;15%
Bom Lugar, MA;população 15.655;14,2%
Brejo, MA;população 35.124;15%
Brejo de Areia, MA;população 4.291;11,5%
Buriti, MA;população 27.864;13,3%
Buriti Bravo, MA;população 23.308;14,8%
Buriticupu, MA;população 69.548;13,9%
Buritirana, MA;população 15.055;15,4%
Cachoeira Grande, MA;população 8.762;13%
Cajapió, MA;população 10.876;14%
Cajari, MA;população 18.850;11,9%
Campestre do Maranhão, MA;população 13.921;15,5%
Cândido Mendes, MA;população 19.567;14,7%
Cantanhede, MA;população 21.299;9,3%
Capinzal do Norte, MA;população 10.725;10,2%
Carolina, MA;população 23.902;11,9%
Carutapera, MA;população 23.021;23,1%
Caxias, MA;população 160.291;10,7%
Cedral, MA;população 10.435;23,5%
Central do Maranhão, MA;população 8.354;14,3%
Centro do Guilherme, MA;população 12.713;11,4%
Centro Novo do Maranhão, MA;população 20.707;13,3%
Chapadinha, MA;população 76.972;10,7%
Cidelândia, MA;população 14.238;12,6%
Codó, MA;população 119.962;11%
Coelho Neto, MA;população 48.078;14,1%
Colinas, MA;população 40.097;13,3%
Conceição do Lago-Açu, MA;população 15.554;8,7%
Coroatá, MA;população 63.497;10,3%
Cururupu, MA;população 31.027;11,3%
Davinópolis, MA;população 12.650;12,2%
Dom Pedro, MA;população 22.863;11,2%
Duque Bacelar, MA;população 11.015;11,7%
Esperantinópolis, MA;população 17.238;10,9%
Estreito, MA;população 39.805;14,9%
Feira Nova do Maranhão, MA;população 8.293;13,5%
Fernando Falcão, MA;população 9.932;14,2%
Formosa da Serra Negra, MA;população 18.337;15,1%
Fortaleza dos Nogueiras, MA;população 12.360;11,8%
Fortuna, MA;população 15.226;14,7%
Godofredo Viana, MA;população 11.262;15,9%
Gonçalves Dias, MA;população 17.576;12,7%
Governador Archer, MA;população 10.531;17,7%
Governador Edison Lobão, MA;população 17.430;12%
Governador Eugênio Barros, MA;população 16.386;13,5%
Governador Luiz Rocha, MA;população 7.580;14,1%
Governador Newton Bello, MA;população 10.060;10,5%
Governador Nunes Freire, MA;população 25.188;17,7%
Graça Aranha, MA;população 6.147;14,1%
Grajaú, MA;população 66.013;16,4%
Guimarães, MA;população 11.881;11,4%
Humberto de Campos, MA;população 27.679;17%
Icatu, MA;população 26.240;15,2%
Igarapé do Meio, MA;população 13.567;9,3%
Igarapé Grande, MA;população 11.533;10,9%
Imperatriz, MA;população 252.320;11,6%
Itaipava do Grajaú, MA;população 14.298;16%
Itapecuru Mirim, MA;população 65.713;11,2%
Itinga do Maranhão, MA;população 25.357;13%
Jatobá, MA;população 9.596;14,4%
Jenipapo dos Vieiras, MA;população 16.015;14%
João Lisboa, MA;população 23.338;11,3%
Joselândia, MA;população 15.792;10,2%
Junco do Maranhão, MA;população 3.539;15,3%
Lago da Pedra, MA;população 48.511;13,5%
Lago do Junco, MA;população 10.565;10,1%
Lago Verde, MA;população 15.820;12,2%
Lagoa do Mato, MA;população 11.005;8,9%
Lago dos Rodrigues, MA;população 8.745;10,9%
