Açailândia, MA;população 108.765;0,8%
Afonso Cunha, MA;população 6.277;0,7%
Água Doce do Maranhão, MA;população 12.146;0,7%
Alcântara, MA;população 21.652;0,5%
Aldeias Altas, MA;população 25.509;0,8%
Altamira do Maranhão, MA;população 11.699;0,4%
Alto Alegre do Maranhão, MA;população 26.056;0,4%
Alto Alegre do Pindaré, MA;população 31.271;1%
Alto Parnaíba, MA;população 10.931;2,5%
Amapá do Maranhão, MA;população 6.731;0,6%
Amarante do Maranhão, MA;população 39.974;1,1%
Anajatuba, MA;população 26.618;0,2%
Anapurus, MA;população 15.057;2,2%
Apicum-Açu, MA;população 17.712;0,2%
Araguanã, MA;população 14.843;0,6%
Araioses, MA;população 44.800;0,7%
Arame, MA;população 31.944;0,5%
Arari, MA;população 29.096;0,7%
Axixá, MA;população 11.780;0,6%
Bacabal, MA;população 102.265;0,6%
Bacabeira, MA;população 16.276;0,4%
Bacuri, MA;população 17.280;0,3%
Bacurituba, MA;população 5.477;0,6%
Balsas, MA;população 90.679;2,5%
Barão de Grajaú, MA;população 18.223;0,5%
Barra do Corda, MA;população 85.603;0,7%
Barreirinhas, MA;população 59.623;0,4%
Belágua, MA;população 7.191;1,1%
Bela Vista do Maranhão, MA;população 10.836;1,8%
Benedito Leite, MA;população 5.515;1,1%
Bequimão, MA;população 20.837;0,2%
Bernardo do Mearim, MA;população 5.860;0,8%
Boa Vista do Gurupi, MA;população 8.816;0,6%
Bom Jardim, MA;população 40.405;0,8%
Bom Jesus das Selvas, MA;população 32.133;0,5%
Bom Lugar, MA;população 15.655;1%
Brejo, MA;população 35.124;1,2%
Brejo de Areia, MA;população 4.291;0,8%
Buriti, MA;população 27.864;0,7%
Buriti Bravo, MA;população 23.308;0,8%
Buriticupu, MA;população 69.548;0,7%
Buritirana, MA;população 15.055;1,5%
Cachoeira Grande, MA;população 8.762;0,6%
Cajapió, MA;população 10.876;0%
Cajari, MA;população 18.850;0,2%
Campestre do Maranhão, MA;população 13.921;0,7%
Cândido Mendes, MA;população 19.567;0,6%
Cantanhede, MA;população 21.299;0,4%
Capinzal do Norte, MA;população 10.725;1,6%
Carolina, MA;população 23.902;1,4%
Carutapera, MA;população 23.021;0,5%
Caxias, MA;população 160.291;1,5%
Cedral, MA;população 10.435;0,7%
Central do Maranhão, MA;população 8.354;0,6%
Centro do Guilherme, MA;população 12.713;0,3%
Centro Novo do Maranhão, MA;população 20.707;0,9%
Chapadinha, MA;população 76.972;0,7%
Cidelândia, MA;população 14.238;1,1%
Codó, MA;população 119.962;0,6%
Coelho Neto, MA;população 48.078;0,4%
Colinas, MA;população 40.097;0,6%
Conceição do Lago-Açu, MA;população 15.554;0,8%
Coroatá, MA;população 63.497;0,6%
Cururupu, MA;população 31.027;0,6%
Davinópolis, MA;população 12.650;0,8%
Dom Pedro, MA;população 22.863;0,4%
Duque Bacelar, MA;população 11.015;0,6%
Esperantinópolis, MA;população 17.238;1%
Estreito, MA;população 39.805;0,9%
Feira Nova do Maranhão, MA;população 8.293;1,1%
Fernando Falcão, MA;população 9.932;1,2%
Formosa da Serra Negra, MA;população 18.337;1%
Fortaleza dos Nogueiras, MA;população 12.360;1,2%
Fortuna, MA;população 15.226;0,9%
Godofredo Viana, MA;população 11.262;0,2%
Gonçalves Dias, MA;população 17.576;0,5%
Governador Archer, MA;população 10.531;0,7%
Governador Edison Lobão, MA;população 17.430;1%
Governador Eugênio Barros, MA;população 16.386;0,2%
Governador Luiz Rocha, MA;população 7.580;0,6%
Governador Newton Bello, MA;população 10.060;0,3%
Governador Nunes Freire, MA;população 25.188;0,4%
Graça Aranha, MA;população 6.147;0,6%
Grajaú, MA;população 66.013;0,8%
Guimarães, MA;população 11.881;0,5%
Humberto de Campos, MA;população 27.679;0,7%
Icatu, MA;população 26.240;0,3%
Igarapé do Meio, MA;população 13.567;1%
Igarapé Grande, MA;população 11.533;0,3%
Imperatriz, MA;população 252.320;0,7%
Itaipava do Grajaú, MA;população 14.298;1,9%
Itapecuru Mirim, MA;população 65.713;0,7%
Itinga do Maranhão, MA;população 25.357;0,8%
Jatobá, MA;população 9.596;0,8%
Jenipapo dos Vieiras, MA;população 16.015;1,1%
João Lisboa, MA;população 23.338;0,5%
Joselândia, MA;população 15.792;1,4%
Junco do Maranhão, MA;população 3.539;0,6%
Lago da Pedra, MA;população 48.511;0,7%
Lago do Junco, MA;população 10.565;0,2%
Lago Verde, MA;população 15.820;0,7%
Lagoa do Mato, MA;população 11.005;0%
Lago dos Rodrigues, MA;população 8.745;0,8%
Lagoa Grande do Maranhão, MA;população 12.822;1,2%
Lajeado Novo, MA;população 7.287;0,8%
Lima Campos, MA;população 11.612;0,5%
Loreto, MA;população 11.795;1,1%
Luís Domingues, MA;população 6.744;0,4%
Magalhães de Almeida, MA;população 18.982;0,8%
Maracaçumé, MA;população 20.549;0,7%
Marajá do Sena, MA;população 7.689;0,8%
Maranhãozinho, MA;população 15.384;0,7%
Mata Roma, MA;população 16.169;0,8%
Matinha, MA;população 22.673;0,5%
Matões, MA;população 32.773;0,6%
Matões do Norte, MA;população 15.758;0,5%
Milagres do Maranhão, MA;população 8.261;1,1%
Mirador, MA;população 20.586;0,9%
Miranda do Norte, MA;população 26.979;0,1%
Mirinzal, MA;população 14.570;0,7%
Monção, MA;população 32.516;0,7%
Montes Altos, MA;população 9.102;0,8%
Morros, MA;população 18.747;0,4%
Nina Rodrigues, MA;população 13.746;0,7%
Nova Colinas, MA;população 5.183;1,1%
Nova Iorque, MA;população 4.595;0,8%
Nova Olinda do Maranhão, MA;população 20.184;0,7%
Olho d'Água das Cunhãs, MA;população 19.009;0%
Olinda Nova do Maranhão, MA;população 14.110;0,4%
Paço do Lumiar, MA;população 115.693;0,4%
Palmeirândia, MA;população 19.213;0,6%
Paraibano, MA;população 20.768;1,5%
Parnarama, MA;população 34.018;0,6%
Passagem Franca, MA;população 18.387;1,4%
Pastos Bons, MA;população 18.848;0,7%
Paulino Neves, MA;população 15.427;0,8%
Paulo Ramos, MA;população 20.539;0,2%
Pedreiras, MA;população 38.582;0,7%
Pedro do Rosário, MA;população 24.183;0,4%
Penalva, MA;população 36.899;0,9%
Peri Mirim, MA;população 13.989;0,3%
Peritoró, MA;população 22.369;0,5%
Pindaré-Mirim, MA;população 32.037;0,5%
Pinheiro, MA;população 80.917;0,6%
Pio XII, MA;população 21.333;0,7%
Pirapemas, MA;população 18.053;0,6%
Poção de Pedras, MA;população 18.191;0,4%
Porto Franco, MA;população 22.956;0,7%
Porto Rico do Maranhão, MA;população 5.909;0,6%
Presidente Dutra, MA;população 46.369;0,5%
Presidente Juscelino, MA;população 12.255;0,6%
Presidente Médici, MA;população 6.755;0,6%
Presidente Sarney, MA;população 18.210;0,3%
Presidente Vargas, MA;população 11.206;0,9%
Primeira Cruz, MA;população 14.758;1,2%
Raposa, MA;população 29.167;0,7%
Riachão, MA;população 19.926;1%
Ribamar Fiquene, MA;população 7.563;0,8%
Rosário, MA;população 41.349;0,5%
Sambaíba, MA;população 5.546;1,1%
Santa Filomena do Maranhão, MA;população 7.503;0,6%
Santa Helena, MA;população 40.518;0,7%
Santa Inês, MA;população 82.680;0,4%
Santa Luzia, MA;população 75.762;0,5%
Santa Luzia do Paruá, MA;população 24.507;0,6%
Santa Quitéria do Maranhão, MA;população 24.879;1,2%
Santa Rita, MA;população 35.364;0,5%
Santana do Maranhão, MA;população 12.761;0,7%
Santo Amaro do Maranhão, MA;população 15.110;0,7%
Santo Antônio dos Lopes, MA;população 14.270;0,8%
São Benedito do Rio Preto, MA;população 18.189;1,1%
São Bento, MA;população 43.447;0,8%
São Bernardo, MA;população 27.599;0,4%
São Domingos do Azeitão, MA;população 7.187;1,1%
São Domingos do Maranhão, MA;população 33.716;0,5%
São Félix de Balsas, MA;população 4.554;1,1%
São Francisco do Brejão, MA;população 11.242;0,5%
São Francisco do Maranhão, MA;população 11.961;0,9%
São João Batista, MA;população 20.195;0,3%
São João do Carú, MA;população 15.558;0,8%
São João do Paraíso, MA;população 10.933;0,8%
São João do Soter, MA;população 17.956;0%
São João dos Patos, MA;população 25.287;0,5%
São José de Ribamar, MA;população 172.402;0,7%
São José dos Basílios, MA;população 7.501;0,6%
São Luís, MA;população 1.064.197;0,6%
São Luís Gonzaga do Maranhão, MA;população 18.807;1%
São Mateus do Maranhão, MA;população 40.341;0,6%
São Pedro da Água Branca, MA;população 12.349;0,9%
São Pedro dos Crentes, MA;população 4.542;1,1%
São Raimundo das Mangabeiras, MA;população 18.255;0,8%
São Raimundo do Doca Bezerra, MA;população 5.387;1,2%
São Roberto, MA;população 6.432;0,8%
São Vicente Ferrer, MA;população 21.591;1%
Satubinha, MA;população 13.231;1,3%
Senador Alexandre Costa, MA;população 10.763;1%
