Açailândia, MA;população 108.765;45,3%
Afonso Cunha, MA;população 6.277;48,3%
Água Doce do Maranhão, MA;população 12.146;44,1%
Alcântara, MA;população 21.652;41%
Aldeias Altas, MA;população 25.509;45,8%
Altamira do Maranhão, MA;população 11.699;51,9%
Alto Alegre do Maranhão, MA;população 26.056;47,7%
Alto Alegre do Pindaré, MA;população 31.271;46,1%
Alto Parnaíba, MA;população 10.931;40,5%
Amapá do Maranhão, MA;população 6.731;44,2%
Amarante do Maranhão, MA;população 39.974;46,4%
Anajatuba, MA;população 26.618;49,8%
Anapurus, MA;população 15.057;45,9%
Apicum-Açu, MA;população 17.712;42,9%
Araguanã, MA;população 14.843;53,8%
Araioses, MA;população 44.800;46,2%
Arame, MA;população 31.944;54,4%
Arari, MA;população 29.096;49,4%
Axixá, MA;população 11.780;39,7%
Bacabal, MA;população 102.265;46,2%
Bacabeira, MA;população 16.276;36,7%
Bacuri, MA;população 17.280;47,6%
Bacurituba, MA;população 5.477;43,8%
Balsas, MA;população 90.679;42,1%
Barão de Grajaú, MA;população 18.223;48,7%
Barra do Corda, MA;população 85.603;48,7%
Barreirinhas, MA;população 59.623;42,8%
Belágua, MA;população 7.191;44,1%
Bela Vista do Maranhão, MA;população 10.836;39,3%
Benedito Leite, MA;população 5.515;42,7%
Bequimão, MA;população 20.837;44%
Bernardo do Mearim, MA;população 5.860;47,3%
Boa Vista do Gurupi, MA;população 8.816;44,2%
Bom Jardim, MA;população 40.405;45,9%
Bom Jesus das Selvas, MA;população 32.133;43,8%
Bom Lugar, MA;população 15.655;42,4%
Brejo, MA;população 35.124;45%
Brejo de Areia, MA;população 4.291;47,3%
Buriti, MA;população 27.864;47,3%
Buriti Bravo, MA;população 23.308;42%
Buriticupu, MA;população 69.548;47,7%
Buritirana, MA;população 15.055;43,1%
Cachoeira Grande, MA;população 8.762;43,8%
Cajapió, MA;população 10.876;39,9%
Cajari, MA;população 18.850;46,6%
Campestre do Maranhão, MA;população 13.921;45%
Cândido Mendes, MA;população 19.567;40,2%
