Açailândia, MA;população 108.765;8,6%
Afonso Cunha, MA;população 6.277;9,5%
Água Doce do Maranhão, MA;população 12.146;10,8%
Alcântara, MA;população 21.652;12,2%
Aldeias Altas, MA;população 25.509;9,6%
Altamira do Maranhão, MA;população 11.699;7,5%
Alto Alegre do Maranhão, MA;população 26.056;7,1%
Alto Alegre do Pindaré, MA;população 31.271;7,3%
Alto Parnaíba, MA;população 10.931;7,2%
Amapá do Maranhão, MA;população 6.731;8,4%
Amarante do Maranhão, MA;população 39.974;8,8%
Anajatuba, MA;população 26.618;8%
Anapurus, MA;população 15.057;8,8%
Apicum-Açu, MA;população 17.712;11,1%
Araguanã, MA;população 14.843;7,5%
Araioses, MA;população 44.800;7,3%
Arame, MA;população 31.944;6,7%
Arari, MA;população 29.096;7,8%
Axixá, MA;população 11.780;7,6%
Bacabal, MA;população 102.265;6%
Bacabeira, MA;população 16.276;11,4%
Bacuri, MA;população 17.280;9,8%
Bacurituba, MA;população 5.477;8,7%
Balsas, MA;população 90.679;10,9%
Barão de Grajaú, MA;população 18.223;8,5%
Barra do Corda, MA;população 85.603;8,2%
Barreirinhas, MA;população 59.623;11,7%
Belágua, MA;população 7.191;8,8%
Bela Vista do Maranhão, MA;população 10.836;6,5%
Benedito Leite, MA;população 5.515;12,6%
Bequimão, MA;população 20.837;11,1%
Bernardo do Mearim, MA;população 5.860;6,7%
Boa Vista do Gurupi, MA;população 8.816;8,4%
Bom Jardim, MA;população 40.405;8,2%
Bom Jesus das Selvas, MA;população 32.133;8,4%
Bom Lugar, MA;população 15.655;7,4%
Brejo, MA;população 35.124;9,2%
Brejo de Areia, MA;população 4.291;6,9%
Buriti, MA;população 27.864;7,9%
Buriti Bravo, MA;população 23.308;11,7%
Buriticupu, MA;população 69.548;8,9%
Buritirana, MA;população 15.055;7,2%
Cachoeira Grande, MA;população 8.762;8,7%
Cajapió, MA;população 10.876;6,6%
Cajari, MA;população 18.850;9,7%
Campestre do Maranhão, MA;população 13.921;9,2%
Cândido Mendes, MA;população 19.567;12,8%
Cantanhede, MA;população 21.299;7,6%
Capinzal do Norte, MA;população 10.725;8,1%
Carolina, MA;população 23.902;9,9%
Carutapera, MA;população 23.021;12,8%
Caxias, MA;população 160.291;8,2%
Cedral, MA;população 10.435;14,1%
Central do Maranhão, MA;população 8.354;10,2%
Centro do Guilherme, MA;população 12.713;6,3%
Centro Novo do Maranhão, MA;população 20.707;9,8%
Chapadinha, MA;população 76.972;6,2%
