Açailândia, MA;população 108.765;1,6%
Afonso Cunha, MA;população 6.277;1,3%
Água Doce do Maranhão, MA;população 12.146;0,5%
Alcântara, MA;população 21.652;0,9%
Aldeias Altas, MA;população 25.509;1,6%
Altamira do Maranhão, MA;população 11.699;1,5%
Alto Alegre do Maranhão, MA;população 26.056;1,4%
Alto Alegre do Pindaré, MA;população 31.271;1,6%
Alto Parnaíba, MA;população 10.931;2,5%
Amapá do Maranhão, MA;população 6.731;1,4%
Amarante do Maranhão, MA;população 39.974;1,9%
Anajatuba, MA;população 26.618;0,8%
Anapurus, MA;população 15.057;1%
Apicum-Açu, MA;população 17.712;0,5%
Araguanã, MA;população 14.843;1,4%
Araioses, MA;população 44.800;1,2%
Arame, MA;população 31.944;1,2%
Arari, MA;população 29.096;1,1%
Axixá, MA;população 11.780;1,3%
Bacabal, MA;população 102.265;1,1%
Bacabeira, MA;população 16.276;0,6%
Bacuri, MA;população 17.280;1,3%
Bacurituba, MA;população 5.477;1,2%
Balsas, MA;população 90.679;1,3%
Barão de Grajaú, MA;população 18.223;1%
Barra do Corda, MA;população 85.603;1,2%
Barreirinhas, MA;população 59.623;1%
Belágua, MA;população 7.191;1,1%
Bela Vista do Maranhão, MA;população 10.836;1,8%
Benedito Leite, MA;população 5.515;1,1%
Bequimão, MA;população 20.837;1,1%
Bernardo do Mearim, MA;população 5.860;1,4%
Boa Vista do Gurupi, MA;população 8.816;1,4%
Bom Jardim, MA;população 40.405;1,2%
Bom Jesus das Selvas, MA;população 32.133;1,7%
Bom Lugar, MA;população 15.655;2,7%
Brejo, MA;população 35.124;1,2%
Brejo de Areia, MA;população 4.291;1,3%
Buriti, MA;população 27.864;1,2%
Buriti Bravo, MA;população 23.308;1,2%
Buriticupu, MA;população 69.548;1,7%
Buritirana, MA;população 15.055;2,8%
Cachoeira Grande, MA;população 8.762;1,2%
Cajapió, MA;população 10.876;1,1%
Cajari, MA;população 18.850;1,2%
Campestre do Maranhão, MA;população 13.921;1,1%
Cândido Mendes, MA;população 19.567;1,2%
Cantanhede, MA;população 21.299;1,1%
