Açailândia, MA;população 108.765;1,7%
Afonso Cunha, MA;população 6.277;1,1%
Água Doce do Maranhão, MA;população 12.146;0,2%
Alcântara, MA;população 21.652;1,3%
Aldeias Altas, MA;população 25.509;1,9%
Altamira do Maranhão, MA;população 11.699;2,2%
Alto Alegre do Maranhão, MA;população 26.056;1,6%
Alto Alegre do Pindaré, MA;população 31.271;1,6%
Alto Parnaíba, MA;população 10.931;1,8%
Amapá do Maranhão, MA;população 6.731;1,2%
Amarante do Maranhão, MA;população 39.974;1,9%
Anajatuba, MA;população 26.618;1,2%
Anapurus, MA;população 15.057;1,5%
Apicum-Açu, MA;população 17.712;0,5%
Araguanã, MA;população 14.843;1,8%
Araioses, MA;população 44.800;1%
Arame, MA;população 31.944;1,6%
Arari, MA;população 29.096;1,3%
Axixá, MA;população 11.780;1,3%
Bacabal, MA;população 102.265;1,8%
Bacabeira, MA;população 16.276;0,9%
Bacuri, MA;população 17.280;1,3%
Bacurituba, MA;população 5.477;1,2%
Balsas, MA;população 90.679;1,5%
Barão de Grajaú, MA;população 18.223;1,5%
Barra do Corda, MA;população 85.603;1,2%
Barreirinhas, MA;população 59.623;1%
Belágua, MA;população 7.191;1,3%
Bela Vista do Maranhão, MA;população 10.836;1,8%
Benedito Leite, MA;população 5.515;1,2%
Bequimão, MA;população 20.837;0,3%
Bernardo do Mearim, MA;população 5.860;1,4%
Boa Vista do Gurupi, MA;população 8.816;1,2%
Bom Jardim, MA;população 40.405;1%
Bom Jesus das Selvas, MA;população 32.133;1,8%
Bom Lugar, MA;população 15.655;2,1%
Brejo, MA;população 35.124;0,9%
Brejo de Areia, MA;população 4.291;1,6%
Buriti, MA;população 27.864;1,4%
Buriti Bravo, MA;população 23.308;0,8%
Buriticupu, MA;população 69.548;1,1%
Buritirana, MA;população 15.055;2%
Cachoeira Grande, MA;população 8.762;1,2%
Cajapió, MA;população 10.876;0%
Cajari, MA;população 18.850;1,4%
Campestre do Maranhão, MA;população 13.921;1,8%
Cândido Mendes, MA;população 19.567;1%
Cantanhede, MA;população 21.299;1,1%
Capinzal do Norte, MA;população 10.725;1%
Carolina, MA;população 23.902;1,7%
Carutapera, MA;população 23.021;0,9%
Caxias, MA;população 160.291;1,3%
Cedral, MA;população 10.435;1,5%
Central do Maranhão, MA;população 8.354;1,2%
Centro do Guilherme, MA;população 12.713;1,2%
Centro Novo do Maranhão, MA;população 20.707;1,4%
Chapadinha, MA;população 76.972;1,2%
Cidelândia, MA;população 14.238;1,5%
Codó, MA;população 119.962;1,4%
Coelho Neto, MA;população 48.078;1%
Colinas, MA;população 40.097;1,1%
Conceição do Lago-Açu, MA;população 15.554;1,1%
Coroatá, MA;população 63.497;1,1%
Cururupu, MA;população 31.027;1,5%
Davinópolis, MA;população 12.650;1,7%
Dom Pedro, MA;população 22.863;1,2%
Duque Bacelar, MA;população 11.015;0,6%
Esperantinópolis, MA;população 17.238;2,1%
Estreito, MA;população 39.805;2,1%
Feira Nova do Maranhão, MA;população 8.293;1,4%
Fernando Falcão, MA;população 9.932;1,4%
Formosa da Serra Negra, MA;população 18.337;1,7%
Fortaleza dos Nogueiras, MA;população 12.360;1,6%
Fortuna, MA;população 15.226;1,3%
Godofredo Viana, MA;população 11.262;0,8%
Gonçalves Dias, MA;população 17.576;1,5%
Governador Archer, MA;população 10.531;1,7%
Governador Edison Lobão, MA;população 17.430;1,8%
Governador Eugênio Barros, MA;população 16.386;0,7%
Governador Luiz Rocha, MA;população 7.580;1,3%
Governador Newton Bello, MA;população 10.060;0,8%
Governador Nunes Freire, MA;população 25.188;0,7%
Graça Aranha, MA;população 6.147;1,3%
Grajaú, MA;população 66.013;1,4%
Guimarães, MA;população 11.881;1,2%
Humberto de Campos, MA;população 27.679;1,3%
Icatu, MA;população 26.240;1,4%
Igarapé do Meio, MA;população 13.567;0,5%
Igarapé Grande, MA;população 11.533;0,9%
Imperatriz, MA;população 252.320;1,3%
Itaipava do Grajaú, MA;população 14.298;2,5%
Itapecuru Mirim, MA;população 65.713;0,7%
Itinga do Maranhão, MA;população 25.357;2,3%
Jatobá, MA;população 9.596;1,2%
Jenipapo dos Vieiras, MA;população 16.015;0,4%
João Lisboa, MA;população 23.338;1,5%
Joselândia, MA;população 15.792;2,3%
Junco do Maranhão, MA;população 3.539;1,2%
Lago da Pedra, MA;população 48.511;1,4%
Lago do Junco, MA;população 10.565;0,7%
Lago Verde, MA;população 15.820;2,4%
Lagoa do Mato, MA;população 11.005;0,6%
Lago dos Rodrigues, MA;população 8.745;1,4%
Lagoa Grande do Maranhão, MA;população 12.822;0,9%
Lajeado Novo, MA;população 7.287;1,5%
Lima Campos, MA;população 11.612;1,1%
Loreto, MA;população 11.795;1,1%
Luís Domingues, MA;população 6.744;1%
Magalhães de Almeida, MA;população 18.982;1,7%
Maracaçumé, MA;população 20.549;0,9%
Marajá do Sena, MA;população 7.689;1,4%
Maranhãozinho, MA;população 15.384;1,7%
Mata Roma, MA;população 16.169;1,1%
Matinha, MA;população 22.673;1,5%
Matões, MA;população 32.773;1,5%
Matões do Norte, MA;população 15.758;1,2%
Milagres do Maranhão, MA;população 8.261;1,3%
Mirador, MA;população 20.586;1%
Miranda do Norte, MA;população 26.979;0,8%
Mirinzal, MA;população 14.570;1,9%
Monção, MA;população 32.516;1,8%
Montes Altos, MA;população 9.102;1,5%
Morros, MA;população 18.747;1,5%
Nina Rodrigues, MA;população 13.746;1,8%
Nova Colinas, MA;população 5.183;1,4%
Nova Iorque, MA;população 4.595;1,3%
Nova Olinda do Maranhão, MA;população 20.184;1,9%
Olho d'Água das Cunhãs, MA;população 19.009;0,8%
Olinda Nova do Maranhão, MA;população 14.110;1,5%
