Açailândia, MA;população 108.765;0,1%
Afonso Cunha, MA;população 6.277;0,1%
Água Doce do Maranhão, MA;população 12.146;0%
Alcântara, MA;população 21.652;0%
Aldeias Altas, MA;população 25.509;0,1%
Altamira do Maranhão, MA;população 11.699;0,4%
Alto Alegre do Maranhão, MA;população 26.056;0%
Alto Alegre do Pindaré, MA;população 31.271;0%
Alto Parnaíba, MA;população 10.931;0,1%
Amapá do Maranhão, MA;população 6.731;0%
Amarante do Maranhão, MA;população 39.974;0%
Anajatuba, MA;população 26.618;0%
Anapurus, MA;população 15.057;0%
Apicum-Açu, MA;população 17.712;0%
Araguanã, MA;população 14.843;0%
Araioses, MA;população 44.800;0%
Arame, MA;população 31.944;0,2%
Arari, MA;população 29.096;0%
Axixá, MA;população 11.780;0,1%
Bacabal, MA;população 102.265;0,1%
Bacabeira, MA;população 16.276;0,1%
Bacuri, MA;população 17.280;0%
Bacurituba, MA;população 5.477;0,1%
Balsas, MA;população 90.679;0,1%
Barão de Grajaú, MA;população 18.223;0%
Barra do Corda, MA;população 85.603;0,1%
Barreirinhas, MA;população 59.623;0,1%
Belágua, MA;população 7.191;0,1%
Bela Vista do Maranhão, MA;população 10.836;0%
Benedito Leite, MA;população 5.515;0%
Bequimão, MA;população 20.837;0%
Bernardo do Mearim, MA;população 5.860;0,1%
Boa Vista do Gurupi, MA;população 8.816;0%
Bom Jardim, MA;população 40.405;0,2%
Bom Jesus das Selvas, MA;população 32.133;0%
Bom Lugar, MA;população 15.655;0,2%
Brejo, MA;população 35.124;0%
Brejo de Areia, MA;população 4.291;0,1%
Buriti, MA;população 27.864;0,1%
Buriti Bravo, MA;população 23.308;0,1%
Buriticupu, MA;população 69.548;0,1%
Buritirana, MA;população 15.055;0%
Cachoeira Grande, MA;população 8.762;0,1%
Cajapió, MA;população 10.876;0%
Cajari, MA;população 18.850;0%
Campestre do Maranhão, MA;população 13.921;0,2%
Cândido Mendes, MA;população 19.567;0%
Cantanhede, MA;população 21.299;0,1%
Capinzal do Norte, MA;população 10.725;0%
Carolina, MA;população 23.902;0,1%
Carutapera, MA;população 23.021;0%
Caxias, MA;população 160.291;0,1%
Cedral, MA;população 10.435;0%
Central do Maranhão, MA;população 8.354;0%
Centro do Guilherme, MA;população 12.713;0%
Centro Novo do Maranhão, MA;população 20.707;0%
Chapadinha, MA;população 76.972;0,2%
Cidelândia, MA;população 14.238;0,1%
Codó, MA;população 119.962;0,1%
Coelho Neto, MA;população 48.078;0,3%
