Açailândia, MA;população 108.765;1,5%
Afonso Cunha, MA;população 6.277;1,2%
Água Doce do Maranhão, MA;população 12.146;1,7%
Alcântara, MA;população 21.652;1,1%
Aldeias Altas, MA;população 25.509;0,9%
Altamira do Maranhão, MA;população 11.699;1,1%
Alto Alegre do Maranhão, MA;população 26.056;1,2%
Alto Alegre do Pindaré, MA;população 31.271;1,6%
Alto Parnaíba, MA;população 10.931;2,9%
Amapá do Maranhão, MA;população 6.731;0,9%
Amarante do Maranhão, MA;população 39.974;1,5%
Anajatuba, MA;população 26.618;1,2%
Anapurus, MA;população 15.057;2,7%
Apicum-Açu, MA;população 17.712;0,7%
Araguanã, MA;população 14.843;1,2%
Araioses, MA;população 44.800;2,2%
Arame, MA;população 31.944;1,6%
Arari, MA;população 29.096;1,1%
Axixá, MA;população 11.780;1,8%
Bacabal, MA;população 102.265;2,6%
Bacabeira, MA;população 16.276;1%
Bacuri, MA;população 17.280;1,3%
Bacurituba, MA;população 5.477;1,4%
Balsas, MA;população 90.679;1,6%
Barão de Grajaú, MA;população 18.223;2,1%
Barra do Corda, MA;população 85.603;1,3%
Barreirinhas, MA;população 59.623;0,9%
Belágua, MA;população 7.191;1,3%
Bela Vista do Maranhão, MA;população 10.836;2,5%
Benedito Leite, MA;população 5.515;1,6%
Bequimão, MA;população 20.837;1,1%
Bernardo do Mearim, MA;população 5.860;1,9%
Boa Vista do Gurupi, MA;população 8.816;0,9%
Bom Jardim, MA;população 40.405;1,5%
Bom Jesus das Selvas, MA;população 32.133;1,5%
Bom Lugar, MA;população 15.655;1,3%
Brejo, MA;população 35.124;1,6%
Brejo de Areia, MA;população 4.291;1,5%
Buriti, MA;população 27.864;1,6%
Buriti Bravo, MA;população 23.308;1,5%
Buriticupu, MA;população 69.548;1,6%
Buritirana, MA;população 15.055;2,7%
Cachoeira Grande, MA;população 8.762;1,4%
Cajapió, MA;população 10.876;1,5%
Cajari, MA;população 18.850;2,2%
Campestre do Maranhão, MA;população 13.921;1,5%
Cândido Mendes, MA;população 19.567;0,8%
