Açailândia, MA;população 108.765;0,4%
Afonso Cunha, MA;população 6.277;0,3%
Água Doce do Maranhão, MA;população 12.146;0%
Alcântara, MA;população 21.652;0,3%
Aldeias Altas, MA;população 25.509;0,3%
Altamira do Maranhão, MA;população 11.699;0,7%
Alto Alegre do Maranhão, MA;população 26.056;0,2%
Alto Alegre do Pindaré, MA;população 31.271;0,3%
Alto Parnaíba, MA;população 10.931;0,1%
Amapá do Maranhão, MA;população 6.731;0,3%
Amarante do Maranhão, MA;população 39.974;0,4%
Anajatuba, MA;população 26.618;0,1%
Anapurus, MA;população 15.057;0,3%
Apicum-Açu, MA;população 17.712;0,2%
Araguanã, MA;população 14.843;0,2%
Araioses, MA;população 44.800;0,5%
Arame, MA;população 31.944;0,4%
Arari, MA;população 29.096;0,1%
Axixá, MA;população 11.780;0,2%
Bacabal, MA;população 102.265;0,4%
Bacabeira, MA;população 16.276;0,2%
Bacuri, MA;população 17.280;0,3%
Bacurituba, MA;população 5.477;0,2%
Balsas, MA;população 90.679;0,4%
Barão de Grajaú, MA;população 18.223;0,2%
Barra do Corda, MA;população 85.603;0,4%
Barreirinhas, MA;população 59.623;0,2%
Belágua, MA;população 7.191;0,4%
Bela Vista do Maranhão, MA;população 10.836;0,5%
Benedito Leite, MA;população 5.515;0,5%
Bequimão, MA;população 20.837;0%
Bernardo do Mearim, MA;população 5.860;0,3%
Boa Vista do Gurupi, MA;população 8.816;0,3%
Bom Jardim, MA;população 40.405;0,4%
Bom Jesus das Selvas, MA;população 32.133;0,4%
Bom Lugar, MA;população 15.655;0,5%
Brejo, MA;população 35.124;0,3%
Brejo de Areia, MA;população 4.291;0,4%
Buriti, MA;população 27.864;0,3%
Buriti Bravo, MA;população 23.308;0,5%
Buriticupu, MA;população 69.548;0,3%
Buritirana, MA;população 15.055;0,6%
Cachoeira Grande, MA;população 8.762;0,2%
Cajapió, MA;população 10.876;0,4%
Cajari, MA;população 18.850;0%
Campestre do Maranhão, MA;população 13.921;0,6%
Cândido Mendes, MA;população 19.567;0,4%
Cantanhede, MA;população 21.299;0,3%
Capinzal do Norte, MA;população 10.725;0,4%
Carolina, MA;população 23.902;0,2%
Carutapera, MA;população 23.021;0%
Caxias, MA;população 160.291;0,4%
Cedral, MA;população 10.435;0,4%
Central do Maranhão, MA;população 8.354;0,3%
Centro do Guilherme, MA;população 12.713;0,3%
Centro Novo do Maranhão, MA;população 20.707;0,3%
Chapadinha, MA;população 76.972;0,3%
Cidelândia, MA;população 14.238;0,5%
Codó, MA;população 119.962;0,8%
Coelho Neto, MA;população 48.078;0,3%
Colinas, MA;população 40.097;0,3%
Conceição do Lago-Açu, MA;população 15.554;0,6%
Coroatá, MA;população 63.497;0,4%
Cururupu, MA;população 31.027;0,2%
Davinópolis, MA;população 12.650;0,1%
Dom Pedro, MA;população 22.863;0,4%
Duque Bacelar, MA;população 11.015;0,2%
Esperantinópolis, MA;população 17.238;0,5%
Estreito, MA;população 39.805;0,3%
Feira Nova do Maranhão, MA;população 8.293;0,4%
Fernando Falcão, MA;população 9.932;0,2%
Formosa da Serra Negra, MA;população 18.337;0,4%
Fortaleza dos Nogueiras, MA;população 12.360;0,5%
Fortuna, MA;população 15.226;0,4%
Godofredo Viana, MA;população 11.262;0,4%
Gonçalves Dias, MA;população 17.576;0,2%
Governador Archer, MA;população 10.531;0,4%
Governador Edison Lobão, MA;população 17.430;0,5%
Governador Eugênio Barros, MA;população 16.386;0,2%
Governador Luiz Rocha, MA;população 7.580;0,6%
Governador Newton Bello, MA;população 10.060;0,3%
Governador Nunes Freire, MA;população 25.188;0,1%
Graça Aranha, MA;população 6.147;0,6%
Grajaú, MA;população 66.013;0,4%
Guimarães, MA;população 11.881;0,2%
Humberto de Campos, MA;população 27.679;0,3%
Icatu, MA;população 26.240;0,3%
Igarapé do Meio, MA;população 13.567;0,1%
Igarapé Grande, MA;população 11.533;0,3%
Imperatriz, MA;população 252.320;0,4%
Itaipava do Grajaú, MA;população 14.298;0,3%
Itapecuru Mirim, MA;população 65.713;0,2%
Itinga do Maranhão, MA;população 25.357;0,6%
Jatobá, MA;população 9.596;0,3%
Jenipapo dos Vieiras, MA;população 16.015;0%
João Lisboa, MA;população 23.338;0,1%
Joselândia, MA;população 15.792;0%
Junco do Maranhão, MA;população 3.539;0,3%
Lago da Pedra, MA;população 48.511;0,4%
Lago do Junco, MA;população 10.565;0,2%
Lago Verde, MA;população 15.820;0,1%
Lagoa do Mato, MA;população 11.005;0%
Lago dos Rodrigues, MA;população 8.745;0,3%
Lagoa Grande do Maranhão, MA;população 12.822;0,3%
Lajeado Novo, MA;população 7.287;0,5%
Lima Campos, MA;população 11.612;0%
Loreto, MA;população 11.795;0,3%
Luís Domingues, MA;população 6.744;0,3%
Magalhães de Almeida, MA;população 18.982;0,3%
Maracaçumé, MA;população 20.549;0,1%
Marajá do Sena, MA;população 7.689;0,3%
Maranhãozinho, MA;população 15.384;0,7%
Mata Roma, MA;população 16.169;0,4%
Matinha, MA;população 22.673;0,4%
Matões, MA;população 32.773;0,4%
Matões do Norte, MA;população 15.758;0,2%
Milagres do Maranhão, MA;população 8.261;0,4%
Mirador, MA;população 20.586;0,3%
Miranda do Norte, MA;população 26.979;0,1%
Mirinzal, MA;população 14.570;0,6%
Monção, MA;população 32.516;0,2%
Montes Altos, MA;população 9.102;0,5%
Morros, MA;população 18.747;0,6%
Nina Rodrigues, MA;população 13.746;0,3%
Nova Colinas, MA;população 5.183;0,4%
Nova Iorque, MA;população 4.595;0,5%
Nova Olinda do Maranhão, MA;população 20.184;0,4%
Olho d'Água das Cunhãs, MA;população 19.009;0%
Olinda Nova do Maranhão, MA;população 14.110;0,2%
Paço do Lumiar, MA;população 115.693;0,2%
Palmeirândia, MA;população 19.213;0,2%
Paraibano, MA;população 20.768;0,6%
Parnarama, MA;população 34.018;0,2%
Passagem Franca, MA;população 18.387;0,1%
Pastos Bons, MA;população 18.848;0,7%
Paulino Neves, MA;população 15.427;0,2%
Paulo Ramos, MA;população 20.539;0,3%
Pedreiras, MA;população 38.582;0,3%
Pedro do Rosário, MA;população 24.183;0%
Penalva, MA;população 36.899;0,1%
Peri Mirim, MA;população 13.989;0,3%
Peritoró, MA;população 22.369;0,3%
Pindaré-Mirim, MA;população 32.037;0,5%
Pinheiro, MA;população 80.917;0,2%
Pio XII, MA;população 21.333;0,3%
Pirapemas, MA;população 18.053;0,2%
Poção de Pedras, MA;população 18.191;0,1%
Porto Franco, MA;população 22.956;0,3%
Porto Rico do Maranhão, MA;população 5.909;0,3%
Presidente Dutra, MA;população 46.369;1,8%
Presidente Juscelino, MA;população 12.255;0,2%
Presidente Médici, MA;população 6.755;0,3%
Presidente Sarney, MA;população 18.210;0,3%
Presidente Vargas, MA;população 11.206;0,4%
Primeira Cruz, MA;população 14.758;0%
Raposa, MA;população 29.167;0,1%
Riachão, MA;população 19.926;0,4%
Ribamar Fiquene, MA;população 7.563;0,5%
Rosário, MA;população 41.349;0,3%
Sambaíba, MA;população 5.546;0,4%
Santa Filomena do Maranhão, MA;população 7.503;0,6%
Santa Helena, MA;população 40.518;0,4%
Santa Inês, MA;população 82.680;0,7%
Santa Luzia, MA;população 75.762;0,3%
Santa Luzia do Paruá, MA;população 24.507;0,5%
Santa Quitéria do Maranhão, MA;população 24.879;0,9%
Santa Rita, MA;população 35.364;0,3%
Santana do Maranhão, MA;população 12.761;0%
Santo Amaro do Maranhão, MA;população 15.110;0,4%
Santo Antônio dos Lopes, MA;população 14.270;0,6%
São Benedito do Rio Preto, MA;população 18.189;0,8%
São Bento, MA;população 43.447;0,2%
São Bernardo, MA;população 27.599;0,6%
São Domingos do Azeitão, MA;população 7.187;0,5%
São Domingos do Maranhão, MA;população 33.716;0,6%
São Félix de Balsas, MA;população 4.554;0,4%
São Francisco do Brejão, MA;população 11.242;0%
São Francisco do Maranhão, MA;população 11.961;0,2%
São João Batista, MA;população 20.195;0,3%
São João do Carú, MA;população 15.558;0,4%
São João do Paraíso, MA;população 10.933;2,5%
São João do Soter, MA;população 17.956;0%
São João dos Patos, MA;população 25.287;0,3%
São José de Ribamar, MA;população 172.402;0,2%
São José dos Basílios, MA;população 7.501;0,6%
São Luís, MA;população 1.064.197;0,3%
São Luís Gonzaga do Maranhão, MA;população 18.807;0,1%
São Mateus do Maranhão, MA;população 40.341;0,2%
São Pedro da Água Branca, MA;população 12.349;0,3%
São Pedro dos Crentes, MA;população 4.542;0,4%
São Raimundo das Mangabeiras, MA;população 18.255;0,3%
São Raimundo do Doca Bezerra, MA;população 5.387;0,2%
São Roberto, MA;população 6.432;0,3%
São Vicente Ferrer, MA;população 21.591;0,4%
Satubinha, MA;população 13.231;0,3%
Senador Alexandre Costa, MA;população 10.763;0,6%
Senador La Rocque, MA;população 14.195;0,2%
Serrano do Maranhão, MA;população 10.758;0%
Sítio Novo, MA;população 17.559;1,9%
Sucupira do Norte, MA;população 10.444;0%
Sucupira do Riachão, MA;população 5.519;0,5%
Tasso Fragoso, MA;população 8.219;0,4%
Timbiras, MA;população 28.442;1,6%
Timon, MA;população 163.342;0,6%
Trizidela do Vale, MA;população 20.747;0,4%
Tufilândia, MA;população 5.699;0,4%
Tuntum, MA;população 40.566;0,3%
Turiaçu, MA;população 34.694;0,2%
Turilândia, MA;população 24.559;0,2%
Tutóia, MA;população 56.501;0,4%
Urbano Santos, MA;população 31.840;0,3%
Vargem Grande, MA;população 53.918;0,3%
Viana, MA;população 50.976;0,1%
Vila Nova dos Martírios, MA;população 12.661;0,5%
Vitória do Mearim, MA;população 31.923;0%
Vitorino Freire, MA;população 30.937;0,3%
Zé Doca, MA;população 50.190;0,4%
Acauã, PI;população 6.913;0,8%
Agricolândia, PI;população 5.087;0,3%
Água Branca, PI;população 16.944;0,3%
Alagoinha do Piauí, PI;população 7.485;0,3%
Alegrete do Piauí, PI;população 5.215;0,3%
Alto Longá, PI;população 13.967;0,1%
Altos, PI;população 39.625;0,4%
Alvorada do Gurguéia, PI;população 5.249;2%
Amarante, PI;população 17.305;0,3%
Angical do Piauí, PI;população 6.697;0,3%
Anísio de Abreu, PI;população 9.531;0,7%
Antônio Almeida, PI;população 3.097;0,4%
Aroazes, PI;população 5.773;0,3%
Aroeiras do Itaim, PI;população 2.460;0,3%
Arraial, PI;população 4.678;0,4%
Assunção do Piauí, PI;população 7.667;0,4%
Avelino Lopes, PI;população 11.390;0,5%
Baixa Grande do Ribeiro, PI;população 11.123;0,6%
Barra D'Alcântara, PI;população 3.886;0,3%
Barras, PI;população 45.938;0,4%
Barreiras do Piauí, PI;população 3.283;0,4%
Barro Duro, PI;população 6.941;0,3%
Batalha, PI;população 26.277;0,2%
Bela Vista do Piauí, PI;população 3.902;0,5%
Belém do Piauí, PI;população 3.440;0,3%
Beneditinos, PI;população 10.021;0,3%
Bertolínia, PI;população 5.396;0,4%
Betânia do Piauí, PI;população 6.092;0,8%
Boa Hora, PI;população 6.560;0,3%
Bocaina, PI;população 4.431;0,3%
Bom Jesus, PI;população 24.092;0,8%
Bom Princípio do Piauí, PI;população 5.474;0,4%
Bonfim do Piauí, PI;população 5.531;0,7%
Boqueirão do Piauí, PI;população 6.359;0,4%
Brasileira, PI;população 8.139;0,5%
Brejo do Piauí, PI;população 3.714;0,5%
Buriti dos Lopes, PI;população 19.386;0,5%
Buriti dos Montes, PI;população 8.165;0,4%
Cabeceiras do Piauí, PI;população 10.276;0,3%
Cajazeiras do Piauí, PI;população 3.456;0,3%
Cajueiro da Praia, PI;população 7.415;0,4%
Caldeirão Grande do Piauí, PI;população 5.675;0,6%
Campinas do Piauí, PI;população 5.499;0,5%
Campo Alegre do Fidalgo, PI;população 4.883;0,6%
Campo Grande do Piauí, PI;população 5.775;0,3%
Campo Largo do Piauí, PI;população 7.058;0,3%
Campo Maior, PI;população 45.904;0,4%
Canavieira, PI;população 3.911;0,4%
Canto do Buriti, PI;população 20.619;0,2%
Capitão de Campos, PI;população 11.208;0,7%
Capitão Gervásio Oliveira, PI;população 3.993;0,6%
