Açailândia, MA;população 108.765;5,4%
Afonso Cunha, MA;população 6.277;4,4%
Água Doce do Maranhão, MA;população 12.146;7,6%
Alcântara, MA;população 21.652;5,5%
Aldeias Altas, MA;população 25.509;5,7%
Altamira do Maranhão, MA;população 11.699;3%
Alto Alegre do Maranhão, MA;população 26.056;3,6%
Alto Alegre do Pindaré, MA;população 31.271;6,5%
Alto Parnaíba, MA;população 10.931;5,4%
Amapá do Maranhão, MA;população 6.731;6,6%
Amarante do Maranhão, MA;população 39.974;5,5%
Anajatuba, MA;população 26.618;4,6%
Anapurus, MA;população 15.057;4,1%
Apicum-Açu, MA;população 17.712;8,7%
Araguanã, MA;população 14.843;3,8%
Araioses, MA;população 44.800;6,7%
Arame, MA;população 31.944;3,1%
Arari, MA;população 29.096;4,4%
Axixá, MA;população 11.780;6,6%
Bacabal, MA;população 102.265;3,9%
Bacabeira, MA;população 16.276;6,5%
Bacuri, MA;população 17.280;5,5%
Bacurituba, MA;população 5.477;5,6%
Balsas, MA;população 90.679;6,2%
Barão de Grajaú, MA;população 18.223;4,3%
Barra do Corda, MA;população 85.603;4,3%
Barreirinhas, MA;população 59.623;6%
Belágua, MA;população 7.191;5,3%
Bela Vista do Maranhão, MA;população 10.836;6,3%
Benedito Leite, MA;população 5.515;7,1%
Bequimão, MA;população 20.837;7%
Bernardo do Mearim, MA;população 5.860;5%
Boa Vista do Gurupi, MA;população 8.816;6,6%
Bom Jardim, MA;população 40.405;4,9%
Bom Jesus das Selvas, MA;população 32.133;6,5%
Bom Lugar, MA;população 15.655;5,6%
Brejo, MA;população 35.124;6%
Brejo de Areia, MA;população 4.291;4,7%
Buriti, MA;população 27.864;7,6%
Buriti Bravo, MA;população 23.308;6,9%
Buriticupu, MA;população 69.548;4,6%
Buritirana, MA;população 15.055;5,2%
Cachoeira Grande, MA;população 8.762;5,6%
Cajapió, MA;população 10.876;10,7%
Cajari, MA;população 18.850;3,6%
Campestre do Maranhão, MA;população 13.921;5,4%
Cândido Mendes, MA;população 19.567;7%
Cantanhede, MA;população 21.299;4,8%
Capinzal do Norte, MA;população 10.725;6,7%
Carolina, MA;população 23.902;5,5%
Carutapera, MA;população 23.021;10,1%
Caxias, MA;população 160.291;5%
Cedral, MA;população 10.435;12,9%
Central do Maranhão, MA;população 8.354;6,9%
Centro do Guilherme, MA;população 12.713;6%
Centro Novo do Maranhão, MA;população 20.707;5,9%
Chapadinha, MA;população 76.972;3,8%
Cidelândia, MA;população 14.238;6,7%
Codó, MA;população 119.962;4,5%
Coelho Neto, MA;população 48.078;5,7%
Colinas, MA;população 40.097;4%
Conceição do Lago-Açu, MA;população 15.554;5,1%
Coroatá, MA;população 63.497;3%
Cururupu, MA;população 31.027;4,8%
Davinópolis, MA;população 12.650;4,1%
Dom Pedro, MA;população 22.863;4%
Duque Bacelar, MA;população 11.015;2,1%
Esperantinópolis, MA;população 17.238;5,3%
Estreito, MA;população 39.805;5,8%
Feira Nova do Maranhão, MA;população 8.293;5,6%
Fernando Falcão, MA;população 9.932;3,4%
Formosa da Serra Negra, MA;população 18.337;4,7%
Fortaleza dos Nogueiras, MA;população 12.360;5,4%
Fortuna, MA;população 15.226;6,2%
Godofredo Viana, MA;população 11.262;5,4%
Gonçalves Dias, MA;população 17.576;4,2%
Governador Archer, MA;população 10.531;6,6%
Governador Edison Lobão, MA;população 17.430;4,6%
Governador Eugênio Barros, MA;população 16.386;7%
Governador Luiz Rocha, MA;população 7.580;5,3%
Governador Newton Bello, MA;população 10.060;9,1%
Governador Nunes Freire, MA;população 25.188;5,4%
Graça Aranha, MA;população 6.147;5,3%
Grajaú, MA;população 66.013;5,1%
Guimarães, MA;população 11.881;5,8%
Humberto de Campos, MA;população 27.679;5,7%
Icatu, MA;população 26.240;8%
Igarapé do Meio, MA;população 13.567;4,9%
Igarapé Grande, MA;população 11.533;7,2%
Imperatriz, MA;população 252.320;5%
Itaipava do Grajaú, MA;população 14.298;3,6%
Itapecuru Mirim, MA;população 65.713;4,6%
Itinga do Maranhão, MA;população 25.357;3,8%
Jatobá, MA;população 9.596;4,9%
Jenipapo dos Vieiras, MA;população 16.015;2,2%
João Lisboa, MA;população 23.338;6,2%
Joselândia, MA;população 15.792;5,1%
Junco do Maranhão, MA;população 3.539;6,6%
Lago da Pedra, MA;população 48.511;3,7%
Lago do Junco, MA;população 10.565;4,2%
Lago Verde, MA;população 15.820;5,8%
Lagoa do Mato, MA;população 11.005;5,1%
Lago dos Rodrigues, MA;população 8.745;5%
Lagoa Grande do Maranhão, MA;população 12.822;6,6%
Lajeado Novo, MA;população 7.287;5,3%
Lima Campos, MA;população 11.612;5,1%
Loreto, MA;população 11.795;4,7%
Luís Domingues, MA;população 6.744;6,3%
Magalhães de Almeida, MA;população 18.982;6,6%
Maracaçumé, MA;população 20.549;7%
Marajá do Sena, MA;população 7.689;6,2%
Maranhãozinho, MA;população 15.384;6,3%
Mata Roma, MA;população 16.169;6,1%
Matinha, MA;população 22.673;5,1%
Matões, MA;população 32.773;5,6%
Matões do Norte, MA;população 15.758;8,2%
Milagres do Maranhão, MA;população 8.261;5,3%
Mirador, MA;população 20.586;5,2%
Miranda do Norte, MA;população 26.979;5,6%
Mirinzal, MA;população 14.570;5,3%
Monção, MA;população 32.516;5,3%
Montes Altos, MA;população 9.102;5,3%
Morros, MA;população 18.747;6,4%
Nina Rodrigues, MA;população 13.746;5,8%
Nova Colinas, MA;população 5.183;5,6%
Nova Iorque, MA;população 4.595;5,5%
Nova Olinda do Maranhão, MA;população 20.184;4,9%
Olho d'Água das Cunhãs, MA;população 19.009;5%
Olinda Nova do Maranhão, MA;população 14.110;4,6%
Paço do Lumiar, MA;população 115.693;4,8%
Palmeirândia, MA;população 19.213;6,9%
Paraibano, MA;população 20.768;5,7%
Parnarama, MA;população 34.018;6,1%
Passagem Franca, MA;população 18.387;6,1%
Pastos Bons, MA;população 18.848;4,5%
Paulino Neves, MA;população 15.427;3,6%
Paulo Ramos, MA;população 20.539;3,5%
Pedreiras, MA;população 38.582;3,9%
Pedro do Rosário, MA;população 24.183;8,5%
Penalva, MA;população 36.899;6,4%
Peri Mirim, MA;população 13.989;7,5%
Peritoró, MA;população 22.369;3,9%
Pindaré-Mirim, MA;população 32.037;2,6%
Pinheiro, MA;população 80.917;6,7%
Pio XII, MA;população 21.333;5,1%
Pirapemas, MA;população 18.053;3,4%
Poção de Pedras, MA;população 18.191;5,4%
Porto Franco, MA;população 22.956;5,2%
Porto Rico do Maranhão, MA;população 5.909;6,9%
Presidente Dutra, MA;população 46.369;5,7%
Presidente Juscelino, MA;população 12.255;5,6%
Presidente Médici, MA;população 6.755;6,6%
Presidente Sarney, MA;população 18.210;7,5%
Presidente Vargas, MA;população 11.206;6,2%
Primeira Cruz, MA;população 14.758;6,4%
Raposa, MA;população 29.167;6%
Riachão, MA;população 19.926;6,1%
Ribamar Fiquene, MA;população 7.563;5,3%
Rosário, MA;população 41.349;6,3%
Sambaíba, MA;população 5.546;5,6%
Santa Filomena do Maranhão, MA;população 7.503;5,3%
Santa Helena, MA;população 40.518;6,2%
Santa Inês, MA;população 82.680;4%
Santa Luzia, MA;população 75.762;4,3%
Santa Luzia do Paruá, MA;população 24.507;4,8%
Santa Quitéria do Maranhão, MA;população 24.879;5,7%
Santa Rita, MA;população 35.364;7,9%
Santana do Maranhão, MA;população 12.761;7,7%
Santo Amaro do Maranhão, MA;população 15.110;8,1%
Santo Antônio dos Lopes, MA;população 14.270;4,5%
São Benedito do Rio Preto, MA;população 18.189;5%
São Bento, MA;população 43.447;4,6%
São Bernardo, MA;população 27.599;4,5%
São Domingos do Azeitão, MA;população 7.187;7,1%
São Domingos do Maranhão, MA;população 33.716;5,5%
São Félix de Balsas, MA;população 4.554;5,6%
São Francisco do Brejão, MA;população 11.242;4,5%
São Francisco do Maranhão, MA;população 11.961;4,9%
São João Batista, MA;população 20.195;5%
São João do Carú, MA;população 15.558;4,9%
São João do Paraíso, MA;população 10.933;5,2%
São João do Soter, MA;população 17.956;5,2%
São João dos Patos, MA;população 25.287;4,8%
São José de Ribamar, MA;população 172.402;5%
São José dos Basílios, MA;população 7.501;5,3%
São Luís, MA;população 1.064.197;4,7%
São Luís Gonzaga do Maranhão, MA;população 18.807;4,1%
São Mateus do Maranhão, MA;população 40.341;5,4%
São Pedro da Água Branca, MA;população 12.349;5,5%
São Pedro dos Crentes, MA;população 4.542;5,6%
São Raimundo das Mangabeiras, MA;população 18.255;5,2%
São Raimundo do Doca Bezerra, MA;população 5.387;3,4%
São Roberto, MA;população 6.432;5%
São Vicente Ferrer, MA;população 21.591;3,9%
Satubinha, MA;população 13.231;5%
Senador Alexandre Costa, MA;população 10.763;5,1%
Senador La Rocque, MA;população 14.195;3,9%
Serrano do Maranhão, MA;população 10.758;6,8%
Sítio Novo, MA;população 17.559;5,1%
Sucupira do Norte, MA;população 10.444;5%
Sucupira do Riachão, MA;população 5.519;5,5%
Tasso Fragoso, MA;população 8.219;5,6%
Timbiras, MA;população 28.442;5,9%
Timon, MA;população 163.342;5,8%
Trizidela do Vale, MA;população 20.747;4,2%
Tufilândia, MA;população 5.699;4,9%
Tuntum, MA;população 40.566;5,6%
Turiaçu, MA;população 34.694;6,8%
Turilândia, MA;população 24.559;6,7%
Tutóia, MA;população 56.501;6,8%
Urbano Santos, MA;população 31.840;5,8%
Vargem Grande, MA;população 53.918;4,7%
Viana, MA;população 50.976;4,5%
Vila Nova dos Martírios, MA;população 12.661;7,1%
Vitória do Mearim, MA;população 31.923;5,7%
Vitorino Freire, MA;população 30.937;3,2%
Zé Doca, MA;população 50.190;3,5%
Acauã, PI;população 6.913;8,5%
Agricolândia, PI;população 5.087;7,2%
Água Branca, PI;população 16.944;7,2%
Alagoinha do Piauí, PI;população 7.485;7,1%
Alegrete do Piauí, PI;população 5.215;7,1%
Alto Longá, PI;população 13.967;9,7%
Altos, PI;população 39.625;7,1%
Alvorada do Gurguéia, PI;população 5.249;6,2%
Amarante, PI;população 17.305;4,6%
Angical do Piauí, PI;população 6.697;7,2%
Anísio de Abreu, PI;população 9.531;9,1%
Antônio Almeida, PI;população 3.097;7,2%
Aroazes, PI;população 5.773;7,2%
Aroeiras do Itaim, PI;população 2.460;7,1%
Arraial, PI;população 4.678;7,2%
Assunção do Piauí, PI;população 7.667;9,9%
Avelino Lopes, PI;população 11.390;8,1%
Baixa Grande do Ribeiro, PI;população 11.123;6,7%
Barra D'Alcântara, PI;população 3.886;7,2%
Barras, PI;população 45.938;8,1%
Barreiras do Piauí, PI;população 3.283;5,9%
Barro Duro, PI;população 6.941;7,2%
Batalha, PI;população 26.277;6,3%
Bela Vista do Piauí, PI;população 3.902;9,2%
Belém do Piauí, PI;população 3.440;7,1%
Beneditinos, PI;população 10.021;7,2%
Bertolínia, PI;população 5.396;7,2%
Betânia do Piauí, PI;população 6.092;8,5%
Boa Hora, PI;população 6.560;8,5%
Bocaina, PI;população 4.431;7,1%
Bom Jesus, PI;população 24.092;6%
Bom Princípio do Piauí, PI;população 5.474;5,8%
Bonfim do Piauí, PI;população 5.531;9,1%
Boqueirão do Piauí, PI;população 6.359;9,9%
Brasileira, PI;população 8.139;8,5%
Brejo do Piauí, PI;população 3.714;8,4%
Buriti dos Lopes, PI;população 19.386;5,5%
Buriti dos Montes, PI;população 8.165;9,9%
Cabeceiras do Piauí, PI;população 10.276;7,2%
Cajazeiras do Piauí, PI;população 3.456;7,6%
Cajueiro da Praia, PI;população 7.415;5,8%
Caldeirão Grande do Piauí, PI;população 5.675;7,2%
Campinas do Piauí, PI;população 5.499;9,2%
Campo Alegre do Fidalgo, PI;população 4.883;10,8%
Campo Grande do Piauí, PI;população 5.775;7,1%
Campo Largo do Piauí, PI;população 7.058;8,5%
Campo Maior, PI;população 45.904;7,5%
Canavieira, PI;população 3.911;7,2%
Canto do Buriti, PI;população 20.619;7%
Capitão de Campos, PI;população 11.208;9,9%
Capitão Gervásio Oliveira, PI;população 3.993;10,8%
Caracol, PI;população 10.588;7,6%
Caraúbas do Piauí, PI;população 5.704;5,8%
Caridade do Piauí, PI;população 4.974;7,2%
Castelo do Piauí, PI;população 18.466;10,1%
Caxingó, PI;população 5.248;5,8%
Cocal, PI;população 27.163;5,1%
Cocal de Telha, PI;população 4.611;9,9%
Cocal dos Alves, PI;população 6.014;5,8%
Coivaras, PI;população 3.916;7,2%
Colônia do Gurguéia, PI;população 6.278;6,2%
Colônia do Piauí, PI;população 7.522;7,6%
Conceição do Canindé, PI;população 4.532;9,2%
Coronel José Dias, PI;população 4.598;9,1%
Corrente, PI;população 26.011;7%
Cristalândia do Piauí, PI;população 8.069;5,9%
Cristino Castro, PI;população 10.191;6,2%
Curimatá, PI;população 11.078;5,4%
Currais, PI;população 4.829;6,2%
Curralinhos, PI;população 4.318;7,2%
Curral Novo do Piauí, PI;população 5.059;7,2%
Demerval Lobão, PI;população 13.526;6,7%
Dirceu Arcoverde, PI;população 6.841;9,1%
Dom Expedito Lopes, PI;população 6.735;7,1%
Domingos Mourão, PI;população 4.291;8,5%
Dom Inocêncio, PI;população 9.376;9,1%
Elesbão Veloso, PI;população 14.462;7%
Eliseu Martins, PI;população 4.791;8,4%
Esperantina, PI;população 38.749;7,5%
Fartura do Piauí, PI;população 5.186;9,1%
Flores do Piauí, PI;população 4.395;7,2%
Floresta do Piauí, PI;população 2.513;7,6%
Floriano, PI;população 58.702;5,3%
Francinópolis, PI;população 5.268;7,2%
Francisco Ayres, PI;população 4.361;7,2%
Francisco Macedo, PI;população 3.078;7,1%
Francisco Santos, PI;população 8.993;7,1%
Fronteiras, PI;população 11.411;5,8%
Geminiano, PI;população 5.298;7,1%
Gilbués, PI;população 10.509;5,9%
Guadalupe, PI;população 10.340;4,8%
Guaribas, PI;população 4.472;9,1%
Hugo Napoleão, PI;população 3.811;7,2%
Ilha Grande, PI;população 9.176;5,8%
Inhuma, PI;população 15.032;7,1%
Ipiranga do Piauí, PI;população 9.569;8,3%
Isaías Coelho, PI;população 8.389;7,1%
Itainópolis, PI;população 11.330;9,5%
Itaueira, PI;população 10.818;7%
Jacobina do Piauí, PI;população 5.695;8,5%
Jaicós, PI;população 18.585;7%
Jardim do Mulato, PI;população 4.402;7,2%
Jatobá do Piauí, PI;população 4.756;9,9%
