Açailândia, MA;população 108.765;0,8%
Afonso Cunha, MA;população 6.277;1,1%
Água Doce do Maranhão, MA;população 12.146;0,7%
Alcântara, MA;população 21.652;0,6%
Aldeias Altas, MA;população 25.509;0,7%
Altamira do Maranhão, MA;população 11.699;0%
Alto Alegre do Maranhão, MA;população 26.056;1%
Alto Alegre do Pindaré, MA;população 31.271;0,7%
Alto Parnaíba, MA;população 10.931;2,1%
Amapá do Maranhão, MA;população 6.731;0,9%
Amarante do Maranhão, MA;população 39.974;1%
Anajatuba, MA;população 26.618;0,5%
Anapurus, MA;população 15.057;2%
Apicum-Açu, MA;população 17.712;0,7%
Araguanã, MA;população 14.843;1,2%
Araioses, MA;população 44.800;0,7%
Arame, MA;população 31.944;0,9%
Arari, MA;população 29.096;0,5%
Axixá, MA;população 11.780;0,9%
Bacabal, MA;população 102.265;0,8%
Bacabeira, MA;população 16.276;0,4%
Bacuri, MA;população 17.280;0,7%
Bacurituba, MA;população 5.477;0,7%
Balsas, MA;população 90.679;2,8%
Barão de Grajaú, MA;população 18.223;0,6%
Barra do Corda, MA;população 85.603;0,7%
Barreirinhas, MA;população 59.623;1%
Belágua, MA;população 7.191;1,2%
Bela Vista do Maranhão, MA;população 10.836;1,4%
Benedito Leite, MA;população 5.515;1,5%
Bequimão, MA;população 20.837;0,2%
Bernardo do Mearim, MA;população 5.860;0,8%
Boa Vista do Gurupi, MA;população 8.816;0,9%
Bom Jardim, MA;população 40.405;0,8%
Bom Jesus das Selvas, MA;população 32.133;0,8%
Bom Lugar, MA;população 15.655;1,1%
Brejo, MA;população 35.124;1,4%
Brejo de Areia, MA;população 4.291;0,9%
Buriti, MA;população 27.864;1%
Buriti Bravo, MA;população 23.308;0,6%
Buriticupu, MA;população 69.548;0,9%
Buritirana, MA;população 15.055;1,8%
Cachoeira Grande, MA;população 8.762;0,7%
Cajapió, MA;população 10.876;0,4%
Cajari, MA;população 18.850;0,4%
Campestre do Maranhão, MA;população 13.921;1,4%
Cândido Mendes, MA;população 19.567;0,7%
Cantanhede, MA;população 21.299;0,4%
Capinzal do Norte, MA;população 10.725;1,2%
Carolina, MA;população 23.902;1,2%
Carutapera, MA;população 23.021;0,4%
Caxias, MA;população 160.291;1,9%
Cedral, MA;população 10.435;0,7%
Central do Maranhão, MA;população 8.354;0,6%
Centro do Guilherme, MA;população 12.713;0,6%
Centro Novo do Maranhão, MA;população 20.707;1,2%
Chapadinha, MA;população 76.972;0,8%
Cidelândia, MA;população 14.238;0,9%
Codó, MA;população 119.962;0,6%
Coelho Neto, MA;população 48.078;1%
Colinas, MA;população 40.097;0,7%
Conceição do Lago-Açu, MA;população 15.554;1,1%
Coroatá, MA;população 63.497;0,6%
Cururupu, MA;população 31.027;0,7%
Davinópolis, MA;população 12.650;0,6%
Dom Pedro, MA;população 22.863;0,8%
Duque Bacelar, MA;população 11.015;1,9%
Esperantinópolis, MA;população 17.238;0,9%
Estreito, MA;população 39.805;1,4%
Feira Nova do Maranhão, MA;população 8.293;1,4%
Fernando Falcão, MA;população 9.932;0,9%
Formosa da Serra Negra, MA;população 18.337;1%
Fortaleza dos Nogueiras, MA;população 12.360;1,4%
Fortuna, MA;população 15.226;1%
Godofredo Viana, MA;população 11.262;0,2%
Gonçalves Dias, MA;população 17.576;1%
Governador Archer, MA;população 10.531;1%
Governador Edison Lobão, MA;população 17.430;0,9%
Governador Eugênio Barros, MA;população 16.386;1%
Governador Luiz Rocha, MA;população 7.580;0,9%
Governador Newton Bello, MA;população 10.060;0,3%
