Açailândia, MA;população 108.765;1,2%
Afonso Cunha, MA;população 6.277;1%
Água Doce do Maranhão, MA;população 12.146;0,5%
Alcântara, MA;população 21.652;1,1%
Aldeias Altas, MA;população 25.509;1,1%
Altamira do Maranhão, MA;população 11.699;0%
Alto Alegre do Maranhão, MA;população 26.056;1,1%
Alto Alegre do Pindaré, MA;população 31.271;1,4%
Alto Parnaíba, MA;população 10.931;2,1%
Amapá do Maranhão, MA;população 6.731;1,1%
Amarante do Maranhão, MA;população 39.974;1,6%
Anajatuba, MA;população 26.618;0,7%
Anapurus, MA;população 15.057;1,2%
Apicum-Açu, MA;população 17.712;1,6%
Araguanã, MA;população 14.843;0,6%
Araioses, MA;população 44.800;1,7%
Arame, MA;população 31.944;1,7%
Arari, MA;população 29.096;1,1%
Axixá, MA;população 11.780;1,1%
Bacabal, MA;população 102.265;1,8%
Bacabeira, MA;população 16.276;0,6%
Bacuri, MA;população 17.280;0%
Bacurituba, MA;população 5.477;1,1%
Balsas, MA;população 90.679;1,1%
Barão de Grajaú, MA;população 18.223;1,3%
Barra do Corda, MA;população 85.603;1,6%
Barreirinhas, MA;população 59.623;0,7%
Belágua, MA;população 7.191;1%
Bela Vista do Maranhão, MA;população 10.836;2,1%
Benedito Leite, MA;população 5.515;1,1%
Bequimão, MA;população 20.837;0,9%
Bernardo do Mearim, MA;população 5.860;1,6%
Boa Vista do Gurupi, MA;população 8.816;1,1%
Bom Jardim, MA;população 40.405;1,3%
Bom Jesus das Selvas, MA;população 32.133;1,2%
Bom Lugar, MA;população 15.655;1,6%
Brejo, MA;população 35.124;0,9%
Brejo de Areia, MA;população 4.291;1,3%
Buriti, MA;população 27.864;1,6%
Buriti Bravo, MA;população 23.308;1,3%
Buriticupu, MA;população 69.548;1,1%
Buritirana, MA;população 15.055;1,9%
Cachoeira Grande, MA;população 8.762;1,1%
Cajapió, MA;população 10.876;1,5%
Cajari, MA;população 18.850;1,4%
Campestre do Maranhão, MA;população 13.921;1%
Cândido Mendes, MA;população 19.567;0,6%
Cantanhede, MA;população 21.299;1%
Capinzal do Norte, MA;população 10.725;0,7%
Carolina, MA;população 23.902;1,4%
Carutapera, MA;população 23.021;1,1%
Caxias, MA;população 160.291;1,9%
Cedral, MA;população 10.435;0,7%
Central do Maranhão, MA;população 8.354;1%
Centro do Guilherme, MA;população 12.713;2,1%
Centro Novo do Maranhão, MA;população 20.707;0,9%
Chapadinha, MA;população 76.972;1,3%
Cidelândia, MA;população 14.238;1,7%
Codó, MA;população 119.962;1,7%
Coelho Neto, MA;população 48.078;0,7%
Colinas, MA;população 40.097;1,9%
Conceição do Lago-Açu, MA;população 15.554;1,1%
Coroatá, MA;população 63.497;1,1%
Cururupu, MA;população 31.027;0,9%
Davinópolis, MA;população 12.650;1,5%
Dom Pedro, MA;população 22.863;2,8%
Duque Bacelar, MA;população 11.015;0,8%
Esperantinópolis, MA;população 17.238;1,5%
Estreito, MA;população 39.805;1,7%
Feira Nova do Maranhão, MA;população 8.293;1,3%
Fernando Falcão, MA;população 9.932;1%
Formosa da Serra Negra, MA;população 18.337;2%
Fortaleza dos Nogueiras, MA;população 12.360;1,9%
Fortuna, MA;população 15.226;1,4%
Godofredo Viana, MA;população 11.262;0,6%
Gonçalves Dias, MA;população 17.576;2,1%
Governador Archer, MA;população 10.531;1,2%
Governador Edison Lobão, MA;população 17.430;1,5%
Governador Eugênio Barros, MA;população 16.386;0,7%
Governador Luiz Rocha, MA;população 7.580;1,5%
Governador Newton Bello, MA;população 10.060;1,4%
Governador Nunes Freire, MA;população 25.188;0,8%
Graça Aranha, MA;população 6.147;1,5%
Grajaú, MA;população 66.013;1,5%
Guimarães, MA;população 11.881;1,1%
Humberto de Campos, MA;população 27.679;1%
Icatu, MA;população 26.240;1,1%
Igarapé do Meio, MA;população 13.567;0,5%
Igarapé Grande, MA;população 11.533;3,5%
Imperatriz, MA;população 252.320;2,3%
Itaipava do Grajaú, MA;população 14.298;0,8%
Itapecuru Mirim, MA;população 65.713;0,7%
Itinga do Maranhão, MA;população 25.357;1,3%
Jatobá, MA;população 9.596;1,3%
Jenipapo dos Vieiras, MA;população 16.015;0,7%
João Lisboa, MA;população 23.338;2%
Joselândia, MA;população 15.792;1,6%
Junco do Maranhão, MA;população 3.539;1,1%
Lago da Pedra, MA;população 48.511;1%
Lago do Junco, MA;população 10.565;2%
Lago Verde, MA;população 15.820;1,8%
Lagoa do Mato, MA;população 11.005;0,3%
Lago dos Rodrigues, MA;população 8.745;1,6%
Lagoa Grande do Maranhão, MA;população 12.822;2,3%
Lajeado Novo, MA;população 7.287;1,6%
