Açailândia, MA;população 108.765;3,2%
Afonso Cunha, MA;população 6.277;2,5%
Água Doce do Maranhão, MA;população 12.146;0,5%
Alcântara, MA;população 21.652;2,5%
Aldeias Altas, MA;população 25.509;3,1%
Altamira do Maranhão, MA;população 11.699;4,1%
Alto Alegre do Maranhão, MA;população 26.056;2,2%
Alto Alegre do Pindaré, MA;população 31.271;2,4%
Alto Parnaíba, MA;população 10.931;2,6%
Amapá do Maranhão, MA;população 6.731;2,5%
Amarante do Maranhão, MA;população 39.974;2,1%
Anajatuba, MA;população 26.618;2%
Anapurus, MA;população 15.057;3,1%
Apicum-Açu, MA;população 17.712;1,2%
Araguanã, MA;população 14.843;2,2%
Araioses, MA;população 44.800;2,2%
Arame, MA;população 31.944;2,6%
Arari, MA;população 29.096;2,4%
Axixá, MA;população 11.780;3,1%
Bacabal, MA;população 102.265;3%
Bacabeira, MA;população 16.276;2,1%
Bacuri, MA;população 17.280;1,6%
Bacurituba, MA;população 5.477;2,5%
Balsas, MA;população 90.679;2,8%
Barão de Grajaú, MA;população 18.223;2,4%
Barra do Corda, MA;população 85.603;2,8%
Barreirinhas, MA;população 59.623;1,9%
Belágua, MA;população 7.191;2,3%
Bela Vista do Maranhão, MA;população 10.836;3,7%
Benedito Leite, MA;população 5.515;3%
Bequimão, MA;população 20.837;1,5%
Bernardo do Mearim, MA;população 5.860;2,6%
Boa Vista do Gurupi, MA;população 8.816;2,5%
Bom Jardim, MA;população 40.405;2,2%
Bom Jesus das Selvas, MA;população 32.133;3,6%
Bom Lugar, MA;população 15.655;2,4%
Brejo, MA;população 35.124;1,8%
Brejo de Areia, MA;população 4.291;3,1%
Buriti, MA;população 27.864;3,1%
Buriti Bravo, MA;população 23.308;2,8%
Buriticupu, MA;população 69.548;2,5%
Buritirana, MA;população 15.055;3,3%
Cachoeira Grande, MA;população 8.762;2,5%
Cajapió, MA;população 10.876;3%
Cajari, MA;população 18.850;1,4%
Campestre do Maranhão, MA;população 13.921;2,9%
Cândido Mendes, MA;população 19.567;1,6%
Cantanhede, MA;população 21.299;1,5%
Capinzal do Norte, MA;população 10.725;2,9%
Carolina, MA;população 23.902;2,7%
Carutapera, MA;população 23.021;2,7%
Caxias, MA;população 160.291;2,8%
Cedral, MA;população 10.435;4,9%
Central do Maranhão, MA;população 8.354;2,4%
Centro do Guilherme, MA;população 12.713;2,1%
Centro Novo do Maranhão, MA;população 20.707;1,4%
Chapadinha, MA;população 76.972;2,8%
Cidelândia, MA;população 14.238;2,7%
Codó, MA;população 119.962;3,4%
Coelho Neto, MA;população 48.078;2,5%
Colinas, MA;população 40.097;2,7%
Conceição do Lago-Açu, MA;população 15.554;3,3%
Coroatá, MA;população 63.497;2,6%
Cururupu, MA;população 31.027;2,6%
Davinópolis, MA;população 12.650;3,3%
Dom Pedro, MA;população 22.863;2,7%
Duque Bacelar, MA;população 11.015;4,2%
Esperantinópolis, MA;população 17.238;2,7%
Estreito, MA;população 39.805;2,9%
Feira Nova do Maranhão, MA;população 8.293;2,7%
Fernando Falcão, MA;população 9.932;2,7%
Formosa da Serra Negra, MA;população 18.337;3,7%
Fortaleza dos Nogueiras, MA;população 12.360;2,3%
Fortuna, MA;população 15.226;2,7%
Godofredo Viana, MA;população 11.262;3,1%
Gonçalves Dias, MA;população 17.576;2,6%
Governador Archer, MA;população 10.531;3,9%
Governador Edison Lobão, MA;população 17.430;2,9%
Governador Eugênio Barros, MA;população 16.386;2,4%
Governador Luiz Rocha, MA;população 7.580;2,8%
Governador Newton Bello, MA;população 10.060;3%
Governador Nunes Freire, MA;população 25.188;2,4%
Graça Aranha, MA;população 6.147;2,8%
Grajaú, MA;população 66.013;3%
Guimarães, MA;população 11.881;2,6%
Humberto de Campos, MA;população 27.679;1,9%
Icatu, MA;população 26.240;2,3%
Igarapé do Meio, MA;população 13.567;2,9%
Igarapé Grande, MA;população 11.533;2,8%
Imperatriz, MA;população 252.320;3,1%
Itaipava do Grajaú, MA;população 14.298;3,9%
Itapecuru Mirim, MA;população 65.713;2,7%
Itinga do Maranhão, MA;população 25.357;3,6%
Jatobá, MA;população 9.596;2,2%
Jenipapo dos Vieiras, MA;população 16.015;1,5%
João Lisboa, MA;população 23.338;3,5%
Joselândia, MA;população 15.792;2,5%
Junco do Maranhão, MA;população 3.539;2,5%
Lago da Pedra, MA;população 48.511;2,8%
Lago do Junco, MA;população 10.565;1,4%
Lago Verde, MA;população 15.820;3,1%
Lagoa do Mato, MA;população 11.005;2,9%
Lago dos Rodrigues, MA;população 8.745;2,6%
Lagoa Grande do Maranhão, MA;população 12.822;3,2%
Lajeado Novo, MA;população 7.287;2,9%
Lima Campos, MA;população 11.612;2,5%
Loreto, MA;população 11.795;2,7%
Luís Domingues, MA;população 6.744;2,7%
Magalhães de Almeida, MA;população 18.982;2,4%
Maracaçumé, MA;população 20.549;1,6%
Marajá do Sena, MA;população 7.689;2,6%
Maranhãozinho, MA;população 15.384;3,6%
Mata Roma, MA;população 16.169;1,7%
Matinha, MA;população 22.673;3,3%
Matões, MA;população 32.773;1,9%
Matões do Norte, MA;população 15.758;1%
Milagres do Maranhão, MA;população 8.261;2,3%
Mirador, MA;população 20.586;2,4%
Miranda do Norte, MA;população 26.979;2%
Mirinzal, MA;população 14.570;1,8%
Monção, MA;população 32.516;3,1%
Montes Altos, MA;população 9.102;2,9%
Morros, MA;população 18.747;2,1%
Nina Rodrigues, MA;população 13.746;3,1%
Nova Colinas, MA;população 5.183;2,7%
Nova Iorque, MA;população 4.595;3%
Nova Olinda do Maranhão, MA;população 20.184;2,7%
Olho d'Água das Cunhãs, MA;população 19.009;2,5%
Olinda Nova do Maranhão, MA;população 14.110;3,3%
Paço do Lumiar, MA;população 115.693;2,5%
Palmeirândia, MA;população 19.213;3,5%
Paraibano, MA;população 20.768;3,4%
Parnarama, MA;população 34.018;2,4%
Passagem Franca, MA;população 18.387;2,5%
Pastos Bons, MA;população 18.848;2,8%
Paulino Neves, MA;população 15.427;2,3%
Paulo Ramos, MA;população 20.539;3,6%
Pedreiras, MA;população 38.582;2,4%
Pedro do Rosário, MA;população 24.183;2,8%
Penalva, MA;população 36.899;2,1%
Peri Mirim, MA;população 13.989;2,4%
Peritoró, MA;população 22.369;2,9%
Pindaré-Mirim, MA;população 32.037;3,2%
Pinheiro, MA;população 80.917;2,4%
Pio XII, MA;população 21.333;1,8%
Pirapemas, MA;população 18.053;3,2%
Poção de Pedras, MA;população 18.191;2,3%
Porto Franco, MA;população 22.956;2,6%
Porto Rico do Maranhão, MA;população 5.909;2,4%
Presidente Dutra, MA;população 46.369;2,7%
Presidente Juscelino, MA;população 12.255;2,5%
Presidente Médici, MA;população 6.755;2,5%
Presidente Sarney, MA;população 18.210;2,5%
Presidente Vargas, MA;população 11.206;3,4%
Primeira Cruz, MA;população 14.758;3,2%
Raposa, MA;população 29.167;1,8%
Riachão, MA;população 19.926;2,7%
Ribamar Fiquene, MA;população 7.563;2,9%
Rosário, MA;população 41.349;2,2%
Sambaíba, MA;população 5.546;2,7%
Santa Filomena do Maranhão, MA;população 7.503;2,8%
Santa Helena, MA;população 40.518;3%
Santa Inês, MA;população 82.680;2,8%
Santa Luzia, MA;população 75.762;2,5%
Santa Luzia do Paruá, MA;população 24.507;2,4%
Santa Quitéria do Maranhão, MA;população 24.879;2,2%
Santa Rita, MA;população 35.364;2,3%
Santana do Maranhão, MA;população 12.761;3%
Santo Amaro do Maranhão, MA;população 15.110;2,5%
Santo Antônio dos Lopes, MA;população 14.270;2,6%
São Benedito do Rio Preto, MA;população 18.189;2,6%
São Bento, MA;população 43.447;2,3%
São Bernardo, MA;população 27.599;2,4%
São Domingos do Azeitão, MA;população 7.187;3%
São Domingos do Maranhão, MA;população 33.716;3%
São Félix de Balsas, MA;população 4.554;2,7%
São Francisco do Brejão, MA;população 11.242;3,4%
São Francisco do Maranhão, MA;população 11.961;1,1%
São João Batista, MA;população 20.195;3,5%
São João do Carú, MA;população 15.558;2,6%
São João do Paraíso, MA;população 10.933;2,8%
São João do Soter, MA;população 17.956;0,7%
São João dos Patos, MA;população 25.287;2,6%
São José de Ribamar, MA;população 172.402;2,7%
São José dos Basílios, MA;população 7.501;2,8%
São Luís, MA;população 1.064.197;2,8%
São Luís Gonzaga do Maranhão, MA;população 18.807;3,4%
São Mateus do Maranhão, MA;população 40.341;2,7%
São Pedro da Água Branca, MA;população 12.349;2,9%
São Pedro dos Crentes, MA;população 4.542;2,7%
São Raimundo das Mangabeiras, MA;população 18.255;2,5%
São Raimundo do Doca Bezerra, MA;população 5.387;2,7%
São Roberto, MA;população 6.432;2,6%
São Vicente Ferrer, MA;população 21.591;3,4%
Satubinha, MA;população 13.231;3,5%
Senador Alexandre Costa, MA;população 10.763;1,9%
Senador La Rocque, MA;população 14.195;3,5%
Serrano do Maranhão, MA;população 10.758;3,1%
Sítio Novo, MA;população 17.559;1,5%
Sucupira do Norte, MA;população 10.444;2,2%
Sucupira do Riachão, MA;população 5.519;3%
Tasso Fragoso, MA;população 8.219;2,7%
Timbiras, MA;população 28.442;3,3%
Timon, MA;população 163.342;2,7%
Trizidela do Vale, MA;população 20.747;2,5%
Tufilândia, MA;população 5.699;2,6%
Tuntum, MA;população 40.566;2,9%
Turiaçu, MA;população 34.694;2%
Turilândia, MA;população 24.559;1,6%
Tutóia, MA;população 56.501;2,4%
Urbano Santos, MA;população 31.840;2,4%
Vargem Grande, MA;população 53.918;3,4%
