team;state;stadium
Atlético-GO;GO;Olímpico (GO),Serra Dourada
Ceará;CE;Castelão (CE),Presidente Vargas (CE)
Joinville;SC;Arena Joinville
Grêmio;RS;Arena do Grêmio,Alfredo Jaconi
Paraná;PR;Durival Britto
Bahia;BA;Fonte Nova,Pituaçu
Palmeiras;SP;Arena Palmeiras,Pacaembu
Figueirense;SC;Orlando Scarpelli
Atlético-PR;PR;Arena da Baixada,Couto Pereira,Durival Britto
Corinthians;SP;Arena Corinthians,Pacaembu
Chapecoense;SC;Arena Condá
Avaí;SC;Ressacada
Coritiba;PR;Couto Pereira,Durival Britto
América-MG;MG;Independência,Mineirão
Vasco;RJ;São Januário,Engenhão,Maracanã
Sport;PE;Ilha do Retiro,Arena Pernambuco,Arena de Pernambuco
Fluminense;RJ;Maracanã,Édson Passos,Giulite Coutinho,Engenhão
Cruzeiro;MG;Mineirão,Independência
Vitória;BA;Joia da Princesa,Barradão,Fonte Nova
Santos;SP;Vila Belmiro,Pacaembu
Ponte Preta;SP;Moisés Lucarelli
São Paulo;SP;Morumbi,Pacaembu
Atlético-MG;MG;Independência,Mineirão
Internacional;RS;Beira-Rio
Goiás;GO;Serra Dourada
Santa Cruz;PE;Arruda,Arena Pernambuco
Flamengo;RJ;Maracanã,Luso-Brasileiro
Botafogo;RJ;Luso-Brasileiro,Engenhão
